asin,sku,platform,date,organic_sales,paid_sales,total_sales,units_sold,cost_per_unit,selling_price,margin_per_unit,inventory_value,days_of_supply
BCWI64CIY,SKU-00021,walmart,2025-05-22 13:02:28.163485,167.85,98.12,265.98,8,15.02,33.25,18.23,1591.39,90
BHE7UR23G,SKU-00022,amazon,2025-05-22 13:02:28.163485,44.04,39.55,83.58,1,37.07,83.58,46.51,5148.5,67
BDPPQ0Y9D,SKU-00023,amazon,2025-05-22 13:02:28.163485,2.03,1.23,3.27,0,1.15,3.27,2.11,199.28,42
BOM5IGQPK,SKU-00024,amazon,2025-05-22 13:02:28.163485,95.75,12.76,108.51,1,51.35,108.51,57.16,2696.46,67
BI7P5TB94,SKU-00025,walmart,2025-05-22 13:02:28.163485,83.6,32.1,115.71,3,12.83,38.57,25.73,2422.04,19
B874FRHOC,SKU-00026,walmart,2025-05-22 13:02:28.163485,81.93,40.24,122.18,1,74.99,122.18,47.19,10119.07,71
BN9J2QP89,SKU-00027,walmart,2025-05-22 13:02:28.163485,130.98,41.03,172.01,7,15.12,24.57,9.46,1494.8,71
BUZFK8UT0,SKU-00028,walmart,2025-05-22 13:02:28.163485,68.9,4.73,73.63,1,42.15,73.63,31.48,2231.32,74
BCVS4F8CG,SKU-00029,amazon,2025-05-22 13:02:28.163485,109.55,5.22,114.77,1,50.51,114.77,64.26,2972.29,41
BVYIE6IVW,SKU-00030,walmart,2025-05-22 13:02:28.163485,73.02,100.94,173.95,3,33.05,57.98,24.93,4547.06,33
BPVS7HZIO,SKU-00031,walmart,2025-05-22 13:02:28.163485,145.39,36.19,181.58,4,18.08,45.39,27.31,3068.48,43
BYKL1CQ99,SKU-00032,walmart,2025-05-22 13:02:28.163485,33.7,51.59,85.29,2,13.77,42.65,28.88,2326.56,74
BCHJ755NF,SKU-00033,amazon,2025-05-22 13:02:28.163485,157.16,14.87,172.02,2,50.82,86.01,35.19,4432.34,71
B4ZW9XA3K,SKU-00034,amazon,2025-05-22 13:02:28.163485,58.79,10.64,69.43,1,46.26,69.43,23.16,3438.12,25
BX7EEDTJV,SKU-00035,amazon,2025-05-22 13:02:28.163485,10.34,14.45,24.8,0,11.99,24.8,12.8,1123.9,71
BZHWJR64D,SKU-00036,amazon,2025-05-22 13:02:28.163485,73.08,25.98,99.06,1,37.28,99.06,61.77,5229.18,60
BPJA1WJ0T,SKU-00037,amazon,2025-05-22 13:02:28.163485,63.72,31.06,94.78,1,62.56,94.78,32.22,8683.87,31
BPAC56T4U,SKU-00038,walmart,2025-05-22 13:02:28.163485,83.94,14.3,98.24,1,60.54,98.24,37.7,6808.32,37
BFEL6246H,SKU-00039,amazon,2025-05-22 13:02:28.163485,66.8,34.63,101.44,6,7.72,16.91,9.18,393.84,19
BID25OWF7,SKU-00040,walmart,2025-05-22 13:02:28.163485,5.56,2.95,8.5,0,3.08,8.5,5.43,497.04,84
B5935A0L7,SKU-00041,amazon,2025-05-22 13:02:28.163485,42.07,4.15,46.22,0,26.69,46.22,19.53,4914.18,51
B253J2D54,SKU-00042,amazon,2025-05-22 13:02:28.163485,38.99,14.46,53.45,0,29.44,53.45,24.01,1608.92,35
BI3QK2IAG,SKU-00043,amazon,2025-05-22 13:02:28.163485,26.72,8.19,34.91,0,23.16,34.91,11.74,2806.44,39
BL58KXO9T,SKU-00044,amazon,2025-05-22 13:02:28.163485,11.65,13.52,25.16,0,16.98,25.16,8.19,2686.57,21
B7E8G8JDP,SKU-00045,amazon,2025-05-22 13:02:28.163485,53.99,14.49,68.47,1,44.28,68.47,24.2,3921.32,42
B0LVSNUJZ,SKU-00046,amazon,2025-05-22 13:02:28.163485,83.43,20.41,103.84,5,10.8,20.77,9.97,1329.83,47
BA7TZ0YNC,SKU-00047,walmart,2025-05-22 13:02:28.163485,115.69,48.13,163.82,3,31.49,54.61,23.11,6071.52,63
BXLL4ZKLO,SKU-00048,amazon,2025-05-22 13:02:28.163485,171.33,78.91,250.23,5,19.18,50.05,30.87,3330.99,66
BOKEP7Y6W,SKU-00049,amazon,2025-05-22 13:02:28.163485,50.05,22.99,73.04,1,41.02,73.04,32.02,3297.84,63
BKTAKPUXQ,SKU-00050,walmart,2025-05-22 13:02:28.163485,75.69,54.29,129.98,3,18.07,43.33,25.26,3565.57,44
BXAJI0Y6D,SKU-00001,amazon,2025-05-23 13:02:28.163485,5.97,0.87,6.84,0,3.96,6.84,2.88,693.52,66
BPBHSAHXT,SKU-00002,walmart,2025-05-23 13:02:28.163485,157.49,140.62,298.12,4,43.73,74.53,30.8,8536.89,31
BHV3A3ZMF,SKU-00003,amazon,2025-05-23 13:02:28.163485,187.55,38.41,225.96,12,7.66,18.83,11.17,519.55,58
B8MDD4V30,SKU-00004,walmart,2025-05-23 13:02:28.163485,32.7,29.98,62.68,3,7.16,20.89,13.73,790.8,83
BT9NT3W5U,SKU-00005,walmart,2025-05-23 13:02:28.163485,18.44,5.65,24.08,0,11.86,24.08,12.22,2023.08,56
BZBIKCIDK,SKU-00006,amazon,2025-05-23 13:02:28.163485,196.13,93.52,289.65,3,47.54,96.55,49.01,7709.56,54
BWNNHJ7XV,SKU-00007,amazon,2025-05-23 13:02:28.163485,106.22,98.89,205.11,3,22.09,68.37,46.28,4103.97,32
BG0FN9XUY,SKU-00008,walmart,2025-05-23 13:02:28.163485,57.94,28.79,86.73,1,32.14,86.73,54.59,5531.36,46
B41IBLJH7,SKU-00009,walmart,2025-05-23 13:02:28.163485,33.33,8.65,41.98,0,18.43,41.98,23.55,3221.21,21
B5LXO6QJI,SKU-00010,amazon,2025-05-23 13:02:28.163485,27.23,24.68,51.91,0,36.28,51.91,15.63,6588.44,63
BUJV6OH9S,SKU-00011,walmart,2025-05-23 13:02:28.163485,65.9,32.05,97.95,1,45.06,97.95,52.89,4125.0,47
BDBDW2PCN,SKU-00012,walmart,2025-05-23 13:02:28.163485,107.16,25.51,132.67,3,16.95,44.22,27.27,2522.29,51
B9T84AZYT,SKU-00013,walmart,2025-05-23 13:02:28.163485,127.96,21.46,149.42,3,20.79,49.81,29.01,1791.64,58
BJXEPQ85J,SKU-00014,amazon,2025-05-23 13:02:28.163485,23.91,35.65,59.56,0,28.4,59.56,31.16,3621.4,28
BSG65KXVF,SKU-00015,amazon,2025-05-23 13:02:28.163485,21.4,9.19,30.6,1,18.44,30.6,12.16,3680.48,89
B1T2TALA7,SKU-00016,amazon,2025-05-23 13:02:28.163485,61.94,49.42,111.37,3,22.2,37.12,14.92,3507.12,47
B53LC58DR,SKU-00017,amazon,2025-05-23 13:02:28.163485,93.39,29.15,122.54,2,23.38,61.27,37.89,3302.06,61
BC11ERTJ5,SKU-00018,walmart,2025-05-23 13:02:28.163485,34.4,25.29,59.69,0,31.61,59.69,28.08,6314.47,54
BPHT0HL9X,SKU-00019,amazon,2025-05-23 13:02:28.163485,58.8,21.47,80.28,1,45.03,80.28,35.25,2700.45,82
BPSEIMVIH,SKU-00020,amazon,2025-05-23 13:02:28.163485,25.08,13.18,38.26,0,17.35,38.26,20.91,2257.74,56
BCWI64CIY,SKU-00021,amazon,2025-05-23 13:02:28.163485,54.31,12.31,66.63,0,36.23,66.63,30.4,5661.72,71
BHE7UR23G,SKU-00022,walmart,2025-05-23 13:02:28.163485,62.98,27.42,90.4,1,45.32,90.4,45.08,2906.99,53
BDPPQ0Y9D,SKU-00023,amazon,2025-05-23 13:02:28.163485,36.86,27.48,64.34,1,27.6,64.34,36.73,2035.74,61
BOM5IGQPK,SKU-00024,walmart,2025-05-23 13:02:28.163485,54.95,4.8,59.75,1,20.07,59.75,39.69,1544.29,18
BI7P5TB94,SKU-00025,walmart,2025-05-23 13:02:28.163485,33.9,21.05,54.95,0,21.8,54.95,33.15,4135.37,86
B874FRHOC,SKU-00026,walmart,2025-05-23 13:02:28.163485,17.49,7.43,24.92,0,9.33,24.92,15.59,1756.8,85
BN9J2QP89,SKU-00027,walmart,2025-05-23 13:02:28.163485,137.2,49.65,186.85,8,13.47,23.36,9.89,1395.68,84
BUZFK8UT0,SKU-00028,walmart,2025-05-23 13:02:28.163485,12.51,9.39,21.9,0,13.69,21.9,8.22,1495.46,18
BCVS4F8CG,SKU-00029,amazon,2025-05-23 13:02:28.163485,23.25,28.76,52.0,2,10.51,26.0,15.49,614.11,20
BVYIE6IVW,SKU-00030,amazon,2025-05-23 13:02:28.163485,116.88,30.45,147.33,1,85.69,147.33,61.65,6534.06,90
BPVS7HZIO,SKU-00031,amazon,2025-05-23 13:02:28.163485,228.1,63.59,291.69,5,31.27,58.34,27.07,2154.16,36
BYKL1CQ99,SKU-00032,amazon,2025-05-23 13:02:28.163485,93.24,31.63,124.87,2,20.71,62.43,41.73,2536.26,46
BCHJ755NF,SKU-00033,amazon,2025-05-23 13:02:28.163485,61.35,35.47,96.82,5,7.93,19.36,11.43,1304.73,76
B4ZW9XA3K,SKU-00034,amazon,2025-05-23 13:02:28.163485,71.81,54.42,126.23,4,11.03,31.56,20.53,835.0,26
BX7EEDTJV,SKU-00035,walmart,2025-05-23 13:02:28.163485,44.17,26.8,70.96,3,12.79,23.65,10.86,1695.47,86
BZHWJR64D,SKU-00036,walmart,2025-05-23 13:02:28.163485,24.43,6.52,30.95,0,13.21,30.95,17.73,717.52,68
BPJA1WJ0T,SKU-00037,amazon,2025-05-23 13:02:28.163485,151.58,45.97,197.56,3,32.39,65.85,33.46,5401.11,90
BPAC56T4U,SKU-00038,amazon,2025-05-23 13:02:28.163485,49.93,28.38,78.31,1,46.72,78.31,31.59,5228.72,84
BFEL6246H,SKU-00039,walmart,2025-05-23 13:02:28.163485,28.24,1.88,30.12,0,11.23,30.12,18.88,711.52,87
BID25OWF7,SKU-00040,walmart,2025-05-23 13:02:28.163485,11.64,13.86,25.5,0,8.87,25.5,16.63,1722.24,35
B5935A0L7,SKU-00041,walmart,2025-05-23 13:02:28.163485,25.06,15.06,40.12,1,17.39,40.12,22.72,1889.54,40
B253J2D54,SKU-00042,amazon,2025-05-23 13:02:28.163485,31.65,1.81,33.46,0,20.23,33.46,13.22,3839.18,47
BI3QK2IAG,SKU-00043,amazon,2025-05-23 13:02:28.163485,109.8,26.36,136.16,1,86.65,136.16,49.51,5698.42,54
BL58KXO9T,SKU-00044,walmart,2025-05-23 13:02:28.163485,108.09,89.7,197.79,4,19.91,49.45,29.54,1436.21,67
B7E8G8JDP,SKU-00045,amazon,2025-05-23 13:02:28.163485,74.17,31.88,106.04,2,21.12,53.02,31.9,2631.03,88
B0LVSNUJZ,SKU-00046,amazon,2025-05-23 13:02:28.163485,112.65,81.62,194.27,7,10.09,27.75,17.66,1489.79,75
BA7TZ0YNC,SKU-00047,walmart,2025-05-23 13:02:28.163485,338.27,177.19,515.46,21,15.1,24.55,9.44,951.53,54
BXLL4ZKLO,SKU-00048,walmart,2025-05-23 13:02:28.163485,19.96,22.65,42.61,0,25.97,42.61,16.64,2948.56,29
BOKEP7Y6W,SKU-00049,walmart,2025-05-23 13:02:28.163485,96.71,5.6,102.31,4,9.5,25.58,16.08,686.24,16
BKTAKPUXQ,SKU-00050,amazon,2025-05-23 13:02:28.163485,20.84,5.47,26.32,0,11.2,26.32,15.12,1585.0,39
BXAJI0Y6D,SKU-00001,amazon,2025-05-24 13:02:28.163485,85.78,72.93,158.71,5,14.01,31.74,17.73,2431.9,84
BPBHSAHXT,SKU-00002,amazon,2025-05-24 13:02:28.163485,10.69,7.99,18.69,0,12.35,18.69,6.34,2085.14,75
BHV3A3ZMF,SKU-00003,amazon,2025-05-24 13:02:28.163485,29.85,43.95,73.8,0,33.72,73.8,40.08,3032.06,17
B8MDD4V30,SKU-00004,walmart,2025-05-24 13:02:28.163485,71.88,17.41,89.29,2,18.9,44.65,25.74,2962.69,25
BT9NT3W5U,SKU-00005,amazon,2025-05-24 13:02:28.163485,106.86,57.68,164.54,5,18.53,32.91,14.38,3411.23,37
BZBIKCIDK,SKU-00006,walmart,2025-05-24 13:02:28.163485,163.33,25.41,188.74,3,24.4,62.91,38.52,4590.46,54
BWNNHJ7XV,SKU-00007,walmart,2025-05-24 13:02:28.163485,112.17,40.58,152.75,7,11.76,21.82,10.06,1742.52,25
BG0FN9XUY,SKU-00008,amazon,2025-05-24 13:02:28.163485,75.88,54.53,130.41,6,11.58,21.73,10.16,1771.93,17
B41IBLJH7,SKU-00009,amazon,2025-05-24 13:02:28.163485,83.54,34.13,117.67,3,22.51,39.22,16.72,2090.51,35
B5LXO6QJI,SKU-00010,amazon,2025-05-24 13:02:28.163485,11.07,6.61,17.68,0,7.8,17.68,9.88,1173.17,25
BUJV6OH9S,SKU-00011,walmart,2025-05-24 13:02:28.163485,178.3,23.65,201.96,12,10.98,16.83,5.85,1805.31,61
BDBDW2PCN,SKU-00012,walmart,2025-05-24 13:02:28.163485,176.97,205.65,382.62,6,22.94,63.77,40.83,1163.09,61
B9T84AZYT,SKU-00013,walmart,2025-05-24 13:02:28.163485,49.17,17.72,66.89,0,46.2,66.89,20.69,8202.99,23
BJXEPQ85J,SKU-00014,walmart,2025-05-24 13:02:28.163485,34.67,14.81,49.48,0,18.53,49.48,30.95,2267.6,50
BSG65KXVF,SKU-00015,walmart,2025-05-24 13:02:28.163485,140.97,24.1,165.06,4,15.31,41.27,25.96,2189.46,32
B1T2TALA7,SKU-00016,amazon,2025-05-24 13:02:28.163485,29.81,20.22,50.03,0,29.45,50.03,20.58,3747.07,22
B53LC58DR,SKU-00017,walmart,2025-05-24 13:02:28.163485,75.76,26.64,102.4,1,67.84,102.4,34.56,8923.44,66
BC11ERTJ5,SKU-00018,walmart,2025-05-24 13:02:28.163485,50.14,13.33,63.47,1,34.87,63.47,28.6,4818.59,31
BPHT0HL9X,SKU-00019,walmart,2025-05-24 13:02:28.163485,55.52,12.79,68.31,0,24.87,68.31,43.45,3983.08,55
BPSEIMVIH,SKU-00020,amazon,2025-05-24 13:02:28.163485,217.08,18.14,235.22,4,40.21,58.8,18.59,7962.72,27
BCWI64CIY,SKU-00021,walmart,2025-05-24 13:02:28.163485,80.32,12.05,92.37,1,58.01,92.37,34.36,4447.74,36
BHE7UR23G,SKU-00022,walmart,2025-05-24 13:02:28.163485,30.83,12.12,42.95,2,11.53,21.48,9.95,1894.67,88
BDPPQ0Y9D,SKU-00023,walmart,2025-05-24 13:02:28.163485,66.44,39.67,106.11,3,16.37,35.37,19.0,2436.24,47
BOM5IGQPK,SKU-00024,walmart,2025-05-24 13:02:28.163485,100.56,19.18,119.74,2,32.61,59.87,27.26,2790.18,36
BI7P5TB94,SKU-00025,amazon,2025-05-24 13:02:28.163485,27.78,20.03,47.81,0,22.27,47.81,25.54,3732.38,44
B874FRHOC,SKU-00026,walmart,2025-05-24 13:02:28.163485,29.31,12.72,42.03,1,16.99,42.03,25.04,1470.31,22
BN9J2QP89,SKU-00027,walmart,2025-05-24 13:02:28.163485,77.82,27.31,105.13,3,18.54,35.04,16.51,1613.53,83
BUZFK8UT0,SKU-00028,walmart,2025-05-24 13:02:28.163485,105.27,34.52,139.79,2,39.0,69.89,30.89,6514.03,52
BCVS4F8CG,SKU-00029,amazon,2025-05-24 13:02:28.163485,51.13,7.1,58.23,1,38.58,58.23,19.65,2162.12,40
BVYIE6IVW,SKU-00030,amazon,2025-05-24 13:02:28.163485,83.84,27.95,111.79,1,70.24,111.79,41.55,7001.57,88
BPVS7HZIO,SKU-00031,walmart,2025-05-24 13:02:28.163485,68.75,32.23,100.98,1,67.67,100.98,33.31,10308.3,79
BYKL1CQ99,SKU-00032,walmart,2025-05-24 13:02:28.163485,65.86,7.02,72.88,1,48.47,72.88,24.41,6220.3,33
BCHJ755NF,SKU-00033,amazon,2025-05-24 13:02:28.163485,5.01,2.55,7.55,0,2.56,7.55,5.0,408.73,86
B4ZW9XA3K,SKU-00034,amazon,2025-05-24 13:02:28.163485,69.07,34.04,103.11,1,40.24,103.11,62.87,3342.46,65
BX7EEDTJV,SKU-00035,amazon,2025-05-24 13:02:28.163485,48.07,38.82,86.9,2,24.33,43.45,19.11,3961.69,69
BZHWJR64D,SKU-00036,amazon,2025-05-24 13:02:28.163485,48.62,42.56,91.18,1,27.6,91.18,63.58,4527.14,26
BPJA1WJ0T,SKU-00037,walmart,2025-05-24 13:02:28.163485,40.12,18.52,58.64,3,9.43,19.55,10.12,832.27,57
BPAC56T4U,SKU-00038,walmart,2025-05-24 13:02:28.163485,102.61,126.38,229.0,11,8.15,20.82,12.67,971.9,34
BFEL6246H,SKU-00039,amazon,2025-05-24 13:02:28.163485,141.7,28.66,170.36,2,40.49,85.18,44.69,7754.24,32
BID25OWF7,SKU-00040,walmart,2025-05-24 13:02:28.163485,106.88,12.8,119.68,3,16.2,39.89,23.69,2528.68,77
B5935A0L7,SKU-00041,amazon,2025-05-24 13:02:28.163485,30.04,25.61,55.65,1,32.68,55.65,22.97,6169.3,49
B253J2D54,SKU-00042,walmart,2025-05-24 13:02:28.163485,74.9,49.22,124.12,5,13.9,24.82,10.92,2259.07,79
BI3QK2IAG,SKU-00043,amazon,2025-05-24 13:02:28.163485,122.2,38.74,160.94,2,26.33,80.47,54.14,2179.16,73
BL58KXO9T,SKU-00044,amazon,2025-05-24 13:02:28.163485,58.9,23.55,82.45,1,52.46,82.45,29.98,9785.96,27
B7E8G8JDP,SKU-00045,walmart,2025-05-24 13:02:28.163485,132.67,58.09,190.76,2,56.0,95.38,39.38,6246.7,20
B0LVSNUJZ,SKU-00046,amazon,2025-05-24 13:02:28.163485,13.9,7.95,21.84,1,7.71,21.84,14.13,1066.04,87
BA7TZ0YNC,SKU-00047,walmart,2025-05-24 13:02:28.163485,61.72,48.43,110.14,1,66.55,110.14,43.6,11033.45,78
BXLL4ZKLO,SKU-00048,walmart,2025-05-24 13:02:28.163485,41.43,52.69,94.12,1,47.57,94.12,46.55,2899.58,31
BOKEP7Y6W,SKU-00049,amazon,2025-05-24 13:02:28.163485,18.22,22.27,40.49,1,21.89,40.49,18.59,3385.14,31
BKTAKPUXQ,SKU-00050,walmart,2025-05-24 13:02:28.163485,82.35,57.63,139.99,2,47.98,69.99,22.01,5727.2,24
BXAJI0Y6D,SKU-00001,amazon,2025-05-25 13:02:28.163485,64.76,26.16,90.92,1,57.12,90.92,33.8,7203.89,20
BPBHSAHXT,SKU-00002,amazon,2025-05-25 13:02:28.163485,51.32,24.23,75.55,1,47.11,75.55,28.44,5584.78,86
BHV3A3ZMF,SKU-00003,amazon,2025-05-25 13:02:28.163485,64.73,23.72,88.45,1,57.35,88.45,31.1,10249.53,85
B8MDD4V30,SKU-00004,walmart,2025-05-25 13:02:28.163485,30.81,15.74,46.55,0,29.09,46.55,17.46,5595.3,31
BT9NT3W5U,SKU-00005,amazon,2025-05-25 13:02:28.163485,27.68,13.25,40.92,1,23.76,40.92,17.16,2733.55,44
BZBIKCIDK,SKU-00006,amazon,2025-05-25 13:02:28.163485,127.14,101.21,228.35,3,32.84,76.12,43.28,2946.7,87
BWNNHJ7XV,SKU-00007,walmart,2025-05-25 13:02:28.163485,26.84,25.54,52.39,1,20.98,52.39,31.4,1325.56,15
BG0FN9XUY,SKU-00008,walmart,2025-05-25 13:02:28.163485,180.79,26.4,207.2,12,10.74,17.27,6.53,1992.8,88
B41IBLJH7,SKU-00009,amazon,2025-05-25 13:02:28.163485,56.43,17.35,73.78,1,29.11,73.78,44.67,5518.14,76
B5LXO6QJI,SKU-00010,walmart,2025-05-25 13:02:28.163485,58.38,13.45,71.83,2,10.93,35.92,24.98,831.95,79
BUJV6OH9S,SKU-00011,amazon,2025-05-25 13:02:28.163485,88.75,29.19,117.94,2,40.51,58.97,18.46,2700.47,90
BDBDW2PCN,SKU-00012,amazon,2025-05-25 13:02:28.163485,99.84,17.82,117.66,1,63.57,117.66,54.09,3256.7,58
B9T84AZYT,SKU-00013,walmart,2025-05-25 13:02:28.163485,103.74,68.99,172.73,2,35.42,86.36,50.94,2030.53,56
BJXEPQ85J,SKU-00014,amazon,2025-05-25 13:02:28.163485,215.14,29.32,244.46,5,33.51,48.89,15.38,5415.69,24
BSG65KXVF,SKU-00015,walmart,2025-05-25 13:02:28.163485,123.51,67.28,190.79,5,26.51,38.16,11.64,2082.5,42
B1T2TALA7,SKU-00016,walmart,2025-05-25 13:02:28.163485,14.14,3.25,17.39,0,10.16,17.39,7.23,1964.49,25
B53LC58DR,SKU-00017,walmart,2025-05-25 13:02:28.163485,19.24,0.97,20.21,0,10.32,20.21,9.9,1041.19,36
BC11ERTJ5,SKU-00018,amazon,2025-05-25 13:02:28.163485,119.18,37.33,156.51,5,21.65,31.3,9.65,1635.61,74
BPHT0HL9X,SKU-00019,walmart,2025-05-25 13:02:28.163485,173.84,67.31,241.15,6,16.68,40.19,23.51,2659.0,73
BPSEIMVIH,SKU-00020,walmart,2025-05-25 13:02:28.163485,175.83,57.95,233.78,3,39.5,77.93,38.42,3132.96,29
BCWI64CIY,SKU-00021,walmart,2025-05-25 13:02:28.163485,39.63,18.06,57.69,1,24.26,57.69,33.43,4383.06,38
BHE7UR23G,SKU-00022,walmart,2025-05-25 13:02:28.163485,3.22,0.26,3.48,0,2.37,3.48,1.11,144.01,86
BDPPQ0Y9D,SKU-00023,walmart,2025-05-25 13:02:28.163485,13.48,10.4,23.89,0,10.51,23.89,13.38,1354.42,45
BOM5IGQPK,SKU-00024,walmart,2025-05-25 13:02:28.163485,34.02,2.95,36.97,0,16.53,36.97,20.44,1525.56,35
BI7P5TB94,SKU-00025,walmart,2025-05-25 13:02:28.163485,77.69,7.18,84.87,2,27.33,42.44,15.1,3348.64,31
B874FRHOC,SKU-00026,walmart,2025-05-25 13:02:28.163485,135.53,75.38,210.91,3,28.96,70.3,41.34,1671.57,25
BN9J2QP89,SKU-00027,amazon,2025-05-25 13:02:28.163485,15.23,5.17,20.4,0,8.65,20.4,11.76,1699.65,23
BUZFK8UT0,SKU-00028,amazon,2025-05-25 13:02:28.163485,66.33,25.26,91.6,1,50.77,91.6,40.83,6088.52,53
BCVS4F8CG,SKU-00029,walmart,2025-05-25 13:02:28.163485,114.68,26.06,140.75,4,22.09,35.19,13.1,1606.67,72
BVYIE6IVW,SKU-00030,amazon,2025-05-25 13:02:28.163485,204.41,99.26,303.67,11,12.4,27.61,15.21,1146.11,70
BPVS7HZIO,SKU-00031,walmart,2025-05-25 13:02:28.163485,41.61,18.69,60.3,2,20.26,30.15,9.89,3233.29,76
BYKL1CQ99,SKU-00032,amazon,2025-05-25 13:02:28.163485,41.55,17.32,58.87,3,6.24,19.62,13.39,1020.64,48
BCHJ755NF,SKU-00033,walmart,2025-05-25 13:02:28.163485,64.96,74.36,139.32,3,22.03,46.44,24.41,2522.4,39
B4ZW9XA3K,SKU-00034,walmart,2025-05-25 13:02:28.163485,13.48,6.28,19.76,0,9.1,19.76,10.66,797.51,40
BX7EEDTJV,SKU-00035,walmart,2025-05-25 13:02:28.163485,52.58,29.02,81.6,3,15.71,27.2,11.49,901.37,53
BZHWJR64D,SKU-00036,walmart,2025-05-25 13:02:28.163485,80.19,15.02,95.21,1,63.8,95.21,31.41,4091.25,81
BPJA1WJ0T,SKU-00037,walmart,2025-05-25 13:02:28.163485,54.54,8.89,63.43,0,39.01,63.43,24.42,6877.08,36
BPAC56T4U,SKU-00038,walmart,2025-05-25 13:02:28.163485,36.13,32.54,68.67,2,13.49,34.33,20.85,1444.21,61
BFEL6246H,SKU-00039,walmart,2025-05-25 13:02:28.163485,45.02,48.67,93.69,3,19.02,31.23,12.21,1312.44,29
BID25OWF7,SKU-00040,walmart,2025-05-25 13:02:28.163485,80.23,30.0,110.23,2,23.16,55.11,31.96,3327.45,66
B5935A0L7,SKU-00041,walmart,2025-05-25 13:02:28.163485,44.87,18.05,62.92,2,15.22,31.46,16.24,1847.99,43
B253J2D54,SKU-00042,amazon,2025-05-25 13:02:28.163485,14.39,6.31,20.7,0,8.59,20.7,12.11,1269.51,35
BI3QK2IAG,SKU-00043,amazon,2025-05-25 13:02:28.163485,35.41,16.61,52.02,2,16.24,26.01,9.77,2284.5,43
BL58KXO9T,SKU-00044,walmart,2025-05-25 13:02:28.163485,18.05,12.21,30.26,0,11.9,30.26,18.36,2259.07,83
B7E8G8JDP,SKU-00045,amazon,2025-05-25 13:02:28.163485,38.23,10.25,48.48,1,32.9,48.48,15.58,4698.36,52
B0LVSNUJZ,SKU-00046,amazon,2025-05-25 13:02:28.163485,124.12,57.12,181.24,2,61.02,90.62,29.6,4282.69,52
BA7TZ0YNC,SKU-00047,walmart,2025-05-25 13:02:28.163485,68.24,21.83,90.07,1,46.14,90.07,43.93,4577.87,89
BXLL4ZKLO,SKU-00048,walmart,2025-05-25 13:02:28.163485,76.47,15.08,91.55,1,30.24,91.55,61.31,2013.67,21
BOKEP7Y6W,SKU-00049,amazon,2025-05-25 13:02:28.163485,37.47,13.83,51.3,0,16.69,51.3,34.61,2361.91,21
