asin,date,cost_of_goods_sold,platform_fees,fulfillment_fees,storage_fees,payment_terms_days,currency_rate,carrying_cost_rate
B5LXO6QJI,2025-05-23 17:06:27.324910,0.0,6.29,0.0,1.4,30,0.9783,0.1332
BUJV6OH9S,2025-05-23 17:06:27.324910,45.06,9.23,2.98,1.65,45,1.006,0.1324
BDBDW2PCN,2025-05-23 17:06:27.324910,50.85,12.9,9.06,0.82,14,1.0129,0.1733
B9T84AZYT,2025-05-23 17:06:27.324910,62.37,18.55,10.63,1.28,45,1.0245,0.1584
BJXEPQ85J,2025-05-23 17:06:27.324910,0.0,5.45,0.0,0.97,30,0.9698,0.121
BSG65KXVF,2025-05-23 17:06:27.324910,18.44,2.94,6.73,2.5,45,1.0033,0.1556
B1T2TALA7,2025-05-23 17:06:27.324910,66.6,12.32,19.9,2.61,45,0.9767,0.1543
B53LC58DR,2025-05-23 17:06:27.324910,46.76,9.94,15.33,1.1,45,0.9476,0.1393
BC11ERTJ5,2025-05-23 17:06:27.324910,0.0,5.67,0.0,0.79,14,1.0073,0.1719
BPHT0HL9X,2025-05-23 17:06:27.324910,45.03,10.35,5.63,1.91,45,0.9784,0.1584
BPSEIMVIH,2025-05-23 17:06:27.324910,0.0,3.96,0.0,1.69,45,0.9976,0.1556
BCWI64CIY,2025-05-23 17:06:27.324910,0.0,9.12,0.0,0.99,45,1.0168,0.1709
BHE7UR23G,2025-05-23 17:06:27.324910,45.32,13.35,4.62,2.41,45,1.0072,0.1778
BDPPQ0Y9D,2025-05-23 17:06:27.324910,27.6,8.04,4.97,2.36,30,0.9998,0.1551
BOM5IGQPK,2025-05-23 17:06:27.324910,20.07,7.64,2.92,1.26,45,0.9729,0.1381
BI7P5TB94,2025-05-23 17:06:27.324910,0.0,6.18,0.0,1.9,30,1.0085,0.1257
B874FRHOC,2025-05-23 17:06:27.324910,0.0,2.01,0.0,1.97,14,1.0105,0.1401
BN9J2QP89,2025-05-23 17:06:27.324910,107.76,25.31,48.0,1.0,30,1.0133,0.1598
BUZFK8UT0,2025-05-23 17:06:27.324910,0.0,2.29,0.0,1.47,45,0.9874,0.1263
BCVS4F8CG,2025-05-23 17:06:27.324910,21.02,4.92,7.09,2.88,45,1.0421,0.1283
BVYIE6IVW,2025-05-23 17:06:27.324910,85.69,17.15,7.14,0.5,30,0.9905,0.1626
BPVS7HZIO,2025-05-23 17:06:27.324910,156.35,39.74,10.85,1.58,45,1.0198,0.1439
BYKL1CQ99,2025-05-23 17:06:27.324910,41.42,17.42,6.62,0.54,45,0.9965,0.1379
BCHJ755NF,2025-05-23 17:06:27.324910,39.65,13.91,19.07,1.12,14,0.997,0.1212
B4ZW9XA3K,2025-05-23 17:06:27.324910,44.12,11.24,28.46,1.8,45,0.9943,0.1549
BX7EEDTJV,2025-05-23 17:06:27.324910,38.37,7.05,21.6,1.1,45,1.0112,0.1787
BZHWJR64D,2025-05-23 17:06:27.324910,0.0,3.76,0.0,0.75,45,1.0194,0.1605
BPJA1WJ0T,2025-05-23 17:06:27.324910,97.17,19.02,9.57,1.09,45,1.016,0.1498
BPAC56T4U,2025-05-23 17:06:27.324910,46.72,11.14,7.18,1.59,30,0.9871,0.14
BFEL6246H,2025-05-23 17:06:27.324910,0.0,3.12,0.0,2.01,30,1.0051,0.172
BID25OWF7,2025-05-23 17:06:27.324910,0.0,2.68,0.0,1.04,30,0.9935,0.1499
B5935A0L7,2025-05-23 17:06:27.324910,17.39,4.72,2.41,1.24,45,1.0013,0.1255
B253J2D54,2025-05-23 17:06:27.324910,0.0,3.97,0.0,1.54,30,1.0132,0.1677
BI3QK2IAG,2025-05-23 17:06:27.324910,86.65,18.09,3.48,1.68,30,1.0282,0.1436
BL58KXO9T,2025-05-23 17:06:27.324910,79.64,22.15,11.83,0.52,30,1.0091,0.1711
B7E8G8JDP,2025-05-23 17:06:27.324910,42.24,12.36,13.12,1.55,30,1.0065,0.175
B0LVSNUJZ,2025-05-23 17:06:27.324910,70.63,23.58,26.28,2.41,30,0.9984,0.1401
BA7TZ0YNC,2025-05-23 17:06:27.324910,317.1,50.1,45.42,2.19,14,1.0014,0.1285
BXLL4ZKLO,2025-05-23 17:06:27.324910,0.0,3.89,0.0,1.38,14,1.0233,0.168
BOKEP7Y6W,2025-05-23 17:06:27.324910,38.0,11.19,9.36,1.46,45,0.9787,0.1602
BKTAKPUXQ,2025-05-23 17:06:27.324910,0.0,2.32,0.0,2.57,14,1.0309,0.1429
BXAJI0Y6D,2025-05-24 17:06:27.324910,70.05,20.91,20.4,2.83,14,1.0052,0.1594
BPBHSAHXT,2025-05-24 17:06:27.324910,0.0,2.34,0.0,2.53,30,1.0176,0.168
BHV3A3ZMF,2025-05-24 17:06:27.324910,0.0,10.21,0.0,2.27,14,0.9782,0.1503
B8MDD4V30,2025-05-24 17:06:27.324910,37.8,8.38,9.59,0.92,30,1.0214,0.1669
BT9NT3W5U,2025-05-24 17:06:27.324910,92.65,14.17,19.31,2.01,14,1.0158,0.1473
BZBIKCIDK,2025-05-24 17:06:27.324910,73.2,17.24,6.83,2.41,30,0.9908,0.1627
BWNNHJ7XV,2025-05-24 17:06:27.324910,82.32,17.74,34.35,1.66,14,0.9959,0.1739
BG0FN9XUY,2025-05-24 17:06:27.324910,69.48,16.06,41.62,1.53,45,1.0241,0.1346
B41IBLJH7,2025-05-24 17:06:27.324910,67.53,12.61,18.37,0.79,45,1.01,0.1522
B5LXO6QJI,2025-05-24 17:06:27.324910,0.0,1.9,0.0,2.96,30,1.0118,0.1709
BUJV6OH9S,2025-05-24 17:06:27.324910,131.76,19.05,53.19,1.45,30,0.9939,0.1219
BDBDW2PCN,2025-05-24 17:06:27.324910,137.64,46.14,30.28,1.21,45,1.0127,0.1779
B9T84AZYT,2025-05-24 17:06:27.324910,0.0,9.71,0.0,0.56,30,1.0042,0.1241
BJXEPQ85J,2025-05-24 17:06:27.324910,0.0,4.27,0.0,0.88,30,0.9482,0.1428
BSG65KXVF,2025-05-24 17:06:27.324910,61.24,22.88,15.93,2.65,30,1.0034,0.1417
B1T2TALA7,2025-05-24 17:06:27.324910,0.0,7.19,0.0,0.51,30,1.0142,0.132
B53LC58DR,2025-05-24 17:06:27.324910,67.84,12.4,4.03,1.73,14,0.984,0.1285
BC11ERTJ5,2025-05-24 17:06:27.324910,34.87,5.72,4.05,2.45,14,0.9814,0.1762
BPHT0HL9X,2025-05-24 17:06:27.324910,0.0,8.09,0.0,2.35,45,1.0039,0.1706
BPSEIMVIH,2025-05-24 17:06:27.324910,160.84,21.26,10.34,2.51,45,1.0093,0.1583
BCWI64CIY,2025-05-24 17:06:27.324910,58.01,11.07,5.02,1.33,30,0.9627,0.1456
BHE7UR23G,2025-05-24 17:06:27.324910,23.06,4.74,9.99,1.82,30,1.0252,0.1224
BDPPQ0Y9D,2025-05-24 17:06:27.324910,49.11,9.96,16.65,1.78,45,1.0274,0.136
BOM5IGQPK,2025-05-24 17:06:27.324910,65.22,16.31,7.83,1.56,45,1.0178,0.166
BI7P5TB94,2025-05-24 17:06:27.324910,0.0,6.64,0.0,2.71,30,1.019,0.1559
B874FRHOC,2025-05-24 17:06:27.324910,16.99,3.62,3.16,1.95,14,1.0014,0.1491
BN9J2QP89,2025-05-24 17:06:27.324910,55.62,15.12,21.9,2.09,14,0.9954,0.1295
BUZFK8UT0,2025-05-24 17:06:27.324910,78.0,12.09,10.06,1.79,45,0.9904,0.1477
BCVS4F8CG,2025-05-24 17:06:27.324910,38.58,4.81,2.51,1.96,30,0.9762,0.1499
BVYIE6IVW,2025-05-24 17:06:27.324910,70.24,15.52,4.16,0.59,30,0.9932,0.1482
BPVS7HZIO,2025-05-24 17:06:27.324910,67.67,8.92,3.66,0.88,30,0.9983,0.1526
BYKL1CQ99,2025-05-24 17:06:27.324910,48.47,7.36,7.46,0.67,14,0.9998,0.134
BCHJ755NF,2025-05-24 17:06:27.324910,0.0,0.67,0.0,2.07,45,1.0005,0.1601
B4ZW9XA3K,2025-05-24 17:06:27.324910,40.24,15.09,5.26,2.87,45,1.0216,0.1588
BX7EEDTJV,2025-05-24 17:06:27.324910,48.66,8.11,9.26,1.85,45,0.9897,0.1437
BZHWJR64D,2025-05-24 17:06:27.324910,27.6,8.76,4.67,1.93,14,0.9961,0.1647
BPJA1WJ0T,2025-05-24 17:06:27.324910,28.29,5.05,19.39,0.94,30,0.9975,0.1714
BPAC56T4U,2025-05-24 17:06:27.324910,89.65,29.23,43.31,0.52,30,1.0015,0.1233
BFEL6246H,2025-05-24 17:06:27.324910,80.98,24.66,15.85,1.07,14,0.993,0.1423
BID25OWF7,2025-05-24 17:06:27.324910,48.6,14.32,23.31,0.56,45,0.9878,0.1503
B5935A0L7,2025-05-24 17:06:27.324910,32.68,7.16,3.74,1.48,30,1.009,0.1494
B253J2D54,2025-05-24 17:06:27.324910,69.5,10.49,19.23,1.5,14,0.9534,0.1326
BI3QK2IAG,2025-05-24 17:06:27.324910,52.66,19.82,11.89,1.6,45,0.9992,0.1626
BL58KXO9T,2025-05-24 17:06:27.324910,52.46,8.94,3.23,2.13,14,0.9611,0.1508
B7E8G8JDP,2025-05-24 17:06:27.324910,112.0,24.23,5.4,1.57,45,0.9917,0.1583
B0LVSNUJZ,2025-05-24 17:06:27.324910,7.71,2.77,5.32,2.98,45,0.9892,0.1328
BA7TZ0YNC,2025-05-24 17:06:27.324910,66.55,10.95,2.17,2.61,14,0.9714,0.1333
BXLL4ZKLO,2025-05-24 17:06:27.324910,47.57,10.95,4.01,1.14,14,1.0373,0.1749
BOKEP7Y6W,2025-05-24 17:06:27.324910,21.89,5.8,4.96,2.72,45,1.0072,0.1517
BKTAKPUXQ,2025-05-24 17:06:27.324910,95.96,18.16,9.85,2.23,30,0.9974,0.1385
BXAJI0Y6D,2025-05-25 17:06:27.324910,57.12,12.04,2.49,1.57,45,1.0225,0.1576
BPBHSAHXT,2025-05-25 17:06:27.324910,47.11,10.96,3.0,1.88,14,1.0149,0.131
BHV3A3ZMF,2025-05-25 17:06:27.324910,57.35,8.45,7.7,1.18,30,0.9814,0.1692
B8MDD4V30,2025-05-25 17:06:27.324910,0.0,4.32,0.0,1.03,30,0.9855,0.1267
BT9NT3W5U,2025-05-25 17:06:27.324910,23.76,4.41,7.67,1.69,45,1.0196,0.1733
BZBIKCIDK,2025-05-25 17:06:27.324910,98.52,33.74,16.52,0.61,14,1.0006,0.1274
BWNNHJ7XV,2025-05-25 17:06:27.324910,20.98,6.28,3.04,2.4,45,0.9714,0.123
BG0FN9XUY,2025-05-25 17:06:27.324910,128.88,20.7,60.74,1.26,30,0.9531,0.1669
B41IBLJH7,2025-05-25 17:06:27.324910,29.11,6.69,3.4,1.6,14,1.0181,0.172
B5LXO6QJI,2025-05-25 17:06:27.324910,21.86,10.5,6.56,2.4,30,0.9798,0.1779
BUJV6OH9S,2025-05-25 17:06:27.324910,81.02,13.53,11.89,2.8,45,1.0208,0.1711
BDBDW2PCN,2025-05-25 17:06:27.324910,63.57,9.83,2.13,0.51,30,0.9931,0.1397
B9T84AZYT,2025-05-25 17:06:27.324910,70.84,22.15,6.61,2.39,14,1.0011,0.1561
BJXEPQ85J,2025-05-25 17:06:27.324910,167.55,27.52,29.83,1.43,45,1.0089,0.1312
BSG65KXVF,2025-05-25 17:06:27.324910,132.55,23.73,22.66,1.27,14,1.0145,0.1414
B1T2TALA7,2025-05-25 17:06:27.324910,0.0,1.5,0.0,1.02,14,1.0004,0.1563
B53LC58DR,2025-05-25 17:06:27.324910,0.0,1.92,0.0,1.32,30,1.0286,0.1673
BC11ERTJ5,2025-05-25 17:06:27.324910,108.25,22.93,30.21,2.98,14,0.999,0.1384
BPHT0HL9X,2025-05-25 17:06:27.324910,100.08,22.3,14.83,2.41,14,1.0073,0.1732
BPSEIMVIH,2025-05-25 17:06:27.324910,118.5,31.76,16.7,2.86,45,0.9872,0.1694
BCWI64CIY,2025-05-25 17:06:27.324910,24.26,4.83,4.26,0.85,30,1.0281,0.129
BHE7UR23G,2025-05-25 17:06:27.324910,0.0,0.47,0.0,1.71,14,0.9825,0.1401
BDPPQ0Y9D,2025-05-25 17:06:27.324910,0.0,3.54,0.0,1.01,45,1.0312,0.1513
BOM5IGQPK,2025-05-25 17:06:27.324910,0.0,4.15,0.0,2.65,30,0.9868,0.1273
BI7P5TB94,2025-05-25 17:06:27.324910,54.66,10.49,12.0,0.72,45,1.0117,0.142
B874FRHOC,2025-05-25 17:06:27.324910,86.88,27.12,10.44,2.3,45,0.9945,0.1757
BN9J2QP89,2025-05-25 17:06:27.324910,0.0,1.7,0.0,1.62,14,0.9884,0.1263
BUZFK8UT0,2025-05-25 17:06:27.324910,50.77,9.11,4.82,0.9,45,0.9862,0.1332
BCVS4F8CG,2025-05-25 17:06:27.324910,88.36,11.67,11.39,2.18,45,1.0047,0.1583
BVYIE6IVW,2025-05-25 17:06:27.324910,136.4,43.8,49.0,2.64,14,1.0034,0.1309
BPVS7HZIO,2025-05-25 17:06:27.324910,40.52,6.25,11.97,2.32,30,1.0106,0.1705
BYKL1CQ99,2025-05-25 17:06:27.324910,18.72,6.05,21.38,1.05,30,0.9779,0.1716
BCHJ755NF,2025-05-25 17:06:27.324910,66.09,20.6,15.59,2.67,30,1.0156,0.1497
B4ZW9XA3K,2025-05-25 17:06:27.324910,0.0,2.39,0.0,0.7,30,1.0034,0.1729
BX7EEDTJV,2025-05-25 17:06:27.324910,47.13,10.72,16.57,1.3,30,1.0032,0.1403
BZHWJR64D,2025-05-25 17:06:27.324910,63.8,8.41,3.88,1.93,14,0.9954,0.1597
BPJA1WJ0T,2025-05-25 17:06:27.324910,0.0,6.5,0.0,2.26,30,1.0139,0.1201
BPAC56T4U,2025-05-25 17:06:27.324910,26.98,9.75,11.96,2.17,30,0.9949,0.1646
BFEL6246H,2025-05-25 17:06:27.324910,57.06,9.2,18.51,1.26,30,0.983,0.1323
BID25OWF7,2025-05-25 17:06:27.324910,46.32,14.81,15.53,0.69,45,0.9797,0.1521
B5935A0L7,2025-05-25 17:06:27.324910,30.44,8.14,7.39,1.31,14,0.989,0.1488
B253J2D54,2025-05-25 17:06:27.324910,0.0,1.82,0.0,1.18,45,0.9786,0.1307
BI3QK2IAG,2025-05-25 17:06:27.324910,32.48,7.66,4.3,1.08,45,1.0254,0.1413
BL58KXO9T,2025-05-25 17:06:27.324910,0.0,3.53,0.0,1.31,45,0.9853,0.166
B7E8G8JDP,2025-05-25 17:06:27.324910,32.9,6.43,4.47,2.42,45,0.9635,0.1302
B0LVSNUJZ,2025-05-25 17:06:27.324910,122.04,17.94,10.07,2.27,14,0.9795,0.1245
BA7TZ0YNC,2025-05-25 17:06:27.324910,46.14,13.1,3.29,0.72,14,0.9942,0.156
BXLL4ZKLO,2025-05-25 17:06:27.324910,30.24,10.96,5.68,0.85,45,0.9692,0.1649
BOKEP7Y6W,2025-05-25 17:06:27.324910,0.0,5.72,0.0,2.55,30,1.0241,0.1316
BKTAKPUXQ,2025-05-25 17:06:27.324910,0.0,3.42,0.0,2.47,30,1.0124,0.1767
BXAJI0Y6D,2025-05-26 17:06:27.324910,39.76,18.14,14.17,1.93,45,1.0035,0.1612
BPBHSAHXT,2025-05-26 17:06:27.324910,80.47,26.21,70.22,2.12,45,0.9882,0.1304
BHV3A3ZMF,2025-05-26 17:06:27.324910,28.08,6.26,5.98,0.52,30,0.9954,0.1587
B8MDD4V30,2025-05-26 17:06:27.324910,51.6,20.15,18.49,1.03,14,1.0102,0.1278
BT9NT3W5U,2025-05-26 17:06:27.324910,77.85,20.42,19.01,2.27,30,1.0158,0.1226
BZBIKCIDK,2025-05-26 17:06:27.324910,59.52,17.57,4.14,2.61,45,1.0046,0.1213
BWNNHJ7XV,2025-05-26 17:06:27.324910,70.28,18.34,10.52,2.37,14,1.014,0.1431
BG0FN9XUY,2025-05-26 17:06:27.324910,0.0,5.39,0.0,2.17,30,1.0274,0.1675
B41IBLJH7,2025-05-26 17:06:27.324910,13.15,2.02,2.81,1.12,30,0.9916,0.1441
B5LXO6QJI,2025-05-26 17:06:27.324910,0.0,5.05,0.0,2.64,45,0.9993,0.1459
BUJV6OH9S,2025-05-26 17:06:27.324910,32.23,5.93,5.32,0.78,45,1.0039,0.1297
BDBDW2PCN,2025-05-26 17:06:27.324910,0.0,6.94,0.0,1.51,14,1.013,0.1371
B9T84AZYT,2025-05-26 17:06:27.324910,32.74,6.06,7.57,1.55,30,0.9936,0.1555
BJXEPQ85J,2025-05-26 17:06:27.324910,0.0,0.57,0.0,1.06,30,0.9718,0.1377
BSG65KXVF,2025-05-26 17:06:27.324910,112.04,22.95,18.38,1.48,45,0.9884,0.1491
B1T2TALA7,2025-05-26 17:06:27.324910,25.23,5.58,14.96,2.26,30,1.0343,0.1254
B53LC58DR,2025-05-26 17:06:27.324910,48.18,8.1,19.07,0.76,14,1.0195,0.171
BC11ERTJ5,2025-05-26 17:06:27.324910,73.45,25.7,31.61,2.03,45,0.9737,0.1559
BPHT0HL9X,2025-05-26 17:06:27.324910,116.55,15.57,35.17,0.58,30,1.0082,0.1599
BPSEIMVIH,2025-05-26 17:06:27.324910,27.68,6.95,29.76,2.65,30,1.0547,0.1605
BCWI64CIY,2025-05-26 17:06:27.324910,32.38,5.14,11.51,2.84,30,0.9635,0.1556
BHE7UR23G,2025-05-26 17:06:27.324910,41.34,5.88,14.66,1.36,45,0.9891,0.1772
BDPPQ0Y9D,2025-05-26 17:06:27.324910,29.9,13.87,2.31,2.85,30,1.028,0.175
BOM5IGQPK,2025-05-26 17:06:27.324910,27.24,6.86,9.69,1.23,14,1.0182,0.1335
BI7P5TB94,2025-05-26 17:06:27.324910,0.0,5.41,0.0,0.95,30,1.0049,0.1244
B874FRHOC,2025-05-26 17:06:27.324910,89.48,24.26,7.94,1.59,30,0.9996,0.164
BN9J2QP89,2025-05-26 17:06:27.324910,0.0,2.97,0.0,2.79,45,0.9917,0.1566
BUZFK8UT0,2025-05-26 17:06:27.324910,26.86,12.23,2.92,0.93,45,1.0113,0.128
BCVS4F8CG,2025-05-26 17:06:27.324910,60.48,10.93,15.73,0.55,30,1.0065,0.1621
BVYIE6IVW,2025-05-26 17:06:27.324910,0.0,1.31,0.0,2.94,14,1.0181,0.1253
BPVS7HZIO,2025-05-26 17:06:27.324910,0.0,1.2,0.0,1.85,45,0.9839,0.1248
BYKL1CQ99,2025-05-26 17:06:27.324910,0.0,3.32,0.0,0.68,14,1.0277,0.1254
BCHJ755NF,2025-05-26 17:06:27.324910,0.0,6.8,0.0,2.38,30,0.9867,0.1751
B4ZW9XA3K,2025-05-26 17:06:27.324910,10.76,2.18,5.03,2.94,45,1.033,0.1299
BX7EEDTJV,2025-05-26 17:06:27.324910,25.32,4.73,4.37,1.31,14,0.9937,0.1441
BZHWJR64D,2025-05-26 17:06:27.324910,50.97,18.72,19.73,1.79,30,0.9907,0.1421
BPJA1WJ0T,2025-05-26 17:06:27.324910,27.85,3.91,7.8,1.51,30,0.984,0.156
BPAC56T4U,2025-05-26 17:06:27.324910,25.7,7.37,14.16,1.22,30,0.9962,0.1786
BFEL6246H,2025-05-26 17:06:27.324910,38.76,10.87,7.68,2.47,45,0.9948,0.1686
BID25OWF7,2025-05-26 17:06:27.324910,0.0,5.13,0.0,1.22,14,1.0274,0.1412
B5935A0L7,2025-05-26 17:06:27.324910,167.58,46.73,29.57,1.13,30,0.9733,0.1275
B253J2D54,2025-05-26 17:06:27.324910,75.9,17.82,11.95,2.79,45,1.0221,0.1401
BI3QK2IAG,2025-05-26 17:06:27.324910,85.76,22.95,30.01,2.93,30,1.0115,0.1434
BL58KXO9T,2025-05-26 17:06:27.324910,50.0,9.98,7.5,0.53,30,0.9935,0.1334
B7E8G8JDP,2025-05-26 17:06:27.324910,68.1,22.06,34.66,0.71,14,0.9646,0.1519
B0LVSNUJZ,2025-05-26 17:06:27.324910,0.0,4.88,0.0,0.63,45,1.0084,0.1611
BA7TZ0YNC,2025-05-26 17:06:27.324910,60.63,9.45,20.96,1.09,30,0.9606,0.1564
BXLL4ZKLO,2025-05-26 17:06:27.324910,0.0,5.75,0.0,1.58,14,0.9895,0.1549
BOKEP7Y6W,2025-05-26 17:06:27.324910,86.55,18.06,28.63,2.07,14,0.9829,0.1212
BKTAKPUXQ,2025-05-26 17:06:27.324910,18.41,4.37,3.14,1.57,14,1.0304,0.1775
BXAJI0Y6D,2025-05-27 17:06:27.324910,74.72,20.23,34.33,0.86,14,0.9682,0.1719
BPBHSAHXT,2025-05-27 17:06:27.324910,35.4,6.93,6.5,1.1,45,0.9757,0.1497
BHV3A3ZMF,2025-05-27 17:06:27.324910,88.92,12.15,10.46,2.17,30,1.0114,0.1568
B8MDD4V30,2025-05-27 17:06:27.324910,52.86,12.42,27.75,2.54,30,0.9544,0.1576
BT9NT3W5U,2025-05-27 17:06:27.324910,76.7,12.13,8.99,0.65,14,0.9791,0.1518
BZBIKCIDK,2025-05-27 17:06:27.324910,118.9,18.03,31.93,2.69,14,1.0083,0.1433
BWNNHJ7XV,2025-05-27 17:06:27.324910,0.0,1.15,0.0,0.74,14,1.0252,0.1478
BG0FN9XUY,2025-05-27 17:06:27.324910,0.0,1.79,0.0,2.63,30,0.9824,0.1656
B41IBLJH7,2025-05-27 17:06:27.324910,90.8,35.69,17.04,0.85,30,1.0354,0.1316
