keyword_id,campaign_id,keyword,match_type,impressions,clicks,spend,sales,orders,date,bid,avg_position
KW-CAMP-000006-3,CAMP-000006,wireless headphones,exact,151,5,2.72,7.59,0,2025-05-22 17:06:27.128080,1.58,17.7
KW-CAMP-000006-4,CAMP-000006,fitness tracker,phrase,1345,47,24.17,67.32,0,2025-05-22 17:06:27.128080,0.31,10.2
KW-CAMP-000007-1,CAMP-000007,laptop bag,phrase,402,22,12.7,14.41,0,2025-05-22 17:06:27.128080,2.09,15.3
KW-CAMP-000007-2,CAMP-000007,keyboard,phrase,1932,107,60.96,69.19,1,2025-05-22 17:06:27.128080,0.72,16.7
KW-CAMP-000007-3,CAMP-000007,bluetooth speaker,phrase,1363,75,43.01,48.82,1,2025-05-22 17:06:27.128080,0.58,10.7
KW-CAMP-000007-4,CAMP-000007,charging cable,broad,1911,105,60.28,68.43,1,2025-05-22 17:06:27.128080,0.95,4.5
KW-CAMP-000008-1,CAMP-000008,bluetooth speaker,exact,406,6,11.89,47.94,0,2025-05-22 17:06:27.128080,0.95,1.5
KW-CAMP-000008-2,CAMP-000008,gaming mouse,phrase,251,4,7.35,29.64,0,2025-05-22 17:06:27.128080,0.75,13.2
KW-CAMP-000008-3,CAMP-000008,charging cable,phrase,270,4,7.91,31.9,0,2025-05-22 17:06:27.128080,0.58,17.0
KW-CAMP-000008-4,CAMP-000008,laptop bag,phrase,187,3,5.47,22.07,0,2025-05-22 17:06:27.128080,0.83,9.4
KW-CAMP-000009-1,CAMP-000009,external drive,broad,228,4,4.13,0.0,0,2025-05-22 17:06:27.128080,0.51,13.0
KW-CAMP-000009-2,CAMP-000009,gaming mouse,phrase,336,7,6.07,0.0,0,2025-05-22 17:06:27.128080,1.07,10.2
KW-CAMP-000009-3,CAMP-000009,wireless headphones,phrase,1,0,0.02,0.0,0,2025-05-22 17:06:27.128080,2.83,17.9
KW-CAMP-000009-4,CAMP-000009,charging cable,phrase,381,8,6.88,0.0,0,2025-05-22 17:06:27.128080,1.34,5.9
KW-CAMP-000009-5,CAMP-000009,car charger,broad,265,5,4.78,0.0,0,2025-05-22 17:06:27.128080,1.33,5.3
KW-CAMP-000010-1,CAMP-000010,screen protector,phrase,20,1,0.61,21.22,0,2025-05-22 17:06:27.128080,1.1,7.3
KW-CAMP-000010-2,CAMP-000010,external drive,phrase,119,11,3.57,124.37,0,2025-05-22 17:06:27.128080,0.82,9.7
KW-CAMP-000010-3,CAMP-000010,usb cable,broad,1234,119,36.79,1282.96,8,2025-05-22 17:06:27.128080,0.46,8.7
KW-CAMP-000010-4,CAMP-000010,phone mount,exact,435,42,12.97,452.42,3,2025-05-22 17:06:27.128080,0.41,8.0
KW-CAMP-000010-5,CAMP-000010,smart watch,broad,144,13,4.3,149.81,1,2025-05-22 17:06:27.128080,0.44,5.5
KW-CAMP-000010-6,CAMP-000010,keyboard,phrase,670,65,19.97,696.51,4,2025-05-22 17:06:27.128080,2.11,16.4
KW-CAMP-000010-7,CAMP-000010,tablet stand,exact,414,40,12.34,430.52,2,2025-05-22 17:06:27.128080,1.28,17.9
KW-CAMP-000011-1,CAMP-000011,laptop bag,phrase,269,10,10.61,31.35,0,2025-05-22 17:06:27.128080,1.67,14.0
KW-CAMP-000011-2,CAMP-000011,smart watch,exact,648,24,25.51,75.37,0,2025-05-22 17:06:27.128080,1.15,6.4
KW-CAMP-000011-3,CAMP-000011,phone case,exact,346,13,13.63,40.27,0,2025-05-22 17:06:27.128080,1.43,6.8
KW-CAMP-000011-4,CAMP-000011,laptop bag,exact,849,32,33.41,98.73,1,2025-05-22 17:06:27.128080,0.39,8.8
KW-CAMP-000011-5,CAMP-000011,laptop bag,phrase,847,32,33.33,98.49,1,2025-05-22 17:06:27.128080,1.1,6.6
KW-CAMP-000011-6,CAMP-000011,keyboard,broad,396,15,15.59,46.05,0,2025-05-22 17:06:27.128080,0.4,14.1
KW-CAMP-000011-7,CAMP-000011,gaming mouse,broad,6,0,0.26,0.77,0,2025-05-22 17:06:27.128080,0.58,14.9
KW-CAMP-000011-8,CAMP-000011,smart watch,phrase,743,28,29.23,86.36,0,2025-05-22 17:06:27.128080,0.68,2.8
KW-CAMP-000012-1,CAMP-000012,external drive,broad,4317,63,24.19,619.51,6,2025-05-22 17:06:27.128080,0.69,19.7
KW-CAMP-000012-2,CAMP-000012,phone mount,phrase,1285,18,7.2,184.43,1,2025-05-22 17:06:27.128080,0.36,7.3
KW-CAMP-000012-3,CAMP-000012,screen protector,exact,3126,46,17.52,448.65,4,2025-05-22 17:06:27.128080,0.45,10.0
KW-CAMP-000012-4,CAMP-000012,wireless headphones,exact,4578,67,25.65,657.01,6,2025-05-22 17:06:27.128080,1.19,12.2
KW-CAMP-000012-5,CAMP-000012,power bank,broad,191,2,1.07,27.5,0,2025-05-22 17:06:27.128080,1.76,3.2
KW-CAMP-000012-6,CAMP-000012,gaming mouse,broad,1132,16,6.35,162.55,1,2025-05-22 17:06:27.128080,2.41,11.1
KW-CAMP-000013-1,CAMP-000013,phone case,exact,322,8,12.33,17.11,0,2025-05-22 17:06:27.128080,1.68,3.6
KW-CAMP-000013-2,CAMP-000013,screen protector,phrase,113,2,4.34,6.01,0,2025-05-22 17:06:27.128080,1.88,9.9
KW-CAMP-000013-3,CAMP-000013,charging cable,exact,398,10,15.22,21.12,0,2025-05-22 17:06:27.128080,0.81,8.0
KW-CAMP-000013-4,CAMP-000013,phone case,phrase,4,0,0.17,0.24,0,2025-05-22 17:06:27.128080,0.66,2.2
KW-CAMP-000013-5,CAMP-000013,bluetooth speaker,exact,154,4,5.9,8.18,0,2025-05-22 17:06:27.128080,1.45,17.7
KW-CAMP-000013-6,CAMP-000013,smart watch,broad,227,6,8.68,12.04,0,2025-05-22 17:06:27.128080,1.21,13.3
KW-CAMP-000013-7,CAMP-000013,phone case,exact,431,11,16.51,22.91,0,2025-05-22 17:06:27.128080,1.24,3.8
KW-CAMP-000013-8,CAMP-000013,gaming mouse,broad,136,3,5.24,7.27,0,2025-05-22 17:06:27.128080,0.76,10.6
KW-CAMP-000014-1,CAMP-000014,phone case,broad,761,34,22.78,103.05,2,2025-05-22 17:06:27.128080,0.91,7.8
KW-CAMP-000014-2,CAMP-000014,smart watch,phrase,1573,70,47.1,213.04,6,2025-05-22 17:06:27.128080,1.26,3.4
KW-CAMP-000014-3,CAMP-000014,power bank,exact,5454,244,163.25,738.4,21,2025-05-22 17:06:27.128080,1.22,14.9
KW-CAMP-000014-4,CAMP-000014,keyboard,phrase,1010,45,30.23,136.73,3,2025-05-22 17:06:27.128080,0.92,15.0
KW-CAMP-000015-1,CAMP-000015,tablet stand,exact,4144,170,94.63,542.0,16,2025-05-22 17:06:27.128080,0.52,11.0
KW-CAMP-000015-2,CAMP-000015,screen protector,exact,2864,117,65.41,374.64,11,2025-05-22 17:06:27.128080,0.94,11.9
KW-CAMP-000015-3,CAMP-000015,bluetooth speaker,broad,486,19,11.1,63.6,1,2025-05-22 17:06:27.128080,0.28,11.8
KW-CAMP-000015-4,CAMP-000015,external drive,phrase,6888,282,157.27,900.84,27,2025-05-22 17:06:27.128080,0.98,15.7
KW-CAMP-000015-5,CAMP-000015,usb cable,phrase,3556,145,81.2,465.11,14,2025-05-22 17:06:27.128080,2.34,1.6
KW-CAMP-000015-6,CAMP-000015,gaming mouse,broad,2434,99,55.58,318.34,9,2025-05-22 17:06:27.128080,0.47,8.4
KW-CAMP-000015-7,CAMP-000015,phone mount,exact,840,34,19.19,109.93,3,2025-05-22 17:06:27.128080,1.49,10.3
KW-CAMP-000015-8,CAMP-000015,screen protector,broad,7442,305,169.92,973.27,30,2025-05-22 17:06:27.128080,0.89,8.1
KW-CAMP-000016-1,CAMP-000016,phone mount,broad,226,3,4.67,84.33,0,2025-05-22 17:06:27.128080,0.89,8.2
KW-CAMP-000016-2,CAMP-000016,fitness tracker,broad,1503,25,30.97,559.61,3,2025-05-22 17:06:27.128080,0.49,11.2
KW-CAMP-000016-3,CAMP-000016,keyboard,phrase,1286,21,26.51,479.04,2,2025-05-22 17:06:27.128080,0.54,10.9
KW-CAMP-000016-4,CAMP-000016,usb cable,broad,197,3,4.07,73.58,0,2025-05-22 17:06:27.128080,1.18,14.7
KW-CAMP-000016-5,CAMP-000016,power bank,exact,891,14,18.36,331.78,2,2025-05-22 17:06:27.128080,1.3,11.4
KW-CAMP-000016-6,CAMP-000016,phone mount,phrase,601,10,12.39,223.89,1,2025-05-22 17:06:27.128080,1.46,7.8
KW-CAMP-000016-7,CAMP-000016,external drive,phrase,1083,18,22.33,403.49,2,2025-05-22 17:06:27.128080,0.94,4.3
KW-CAMP-000017-1,CAMP-000017,tablet stand,phrase,328,15,24.31,20.15,0,2025-05-22 17:06:27.128080,0.75,17.6
KW-CAMP-000017-2,CAMP-000017,wireless headphones,exact,179,8,13.28,11.01,0,2025-05-22 17:06:27.128080,0.63,12.4
KW-CAMP-000017-3,CAMP-000017,tablet stand,phrase,221,10,16.4,13.6,0,2025-05-22 17:06:27.128080,2.42,10.5
KW-CAMP-000017-4,CAMP-000017,keyboard,phrase,537,24,39.78,32.98,1,2025-05-22 17:06:27.128080,1.76,18.5
KW-CAMP-000017-5,CAMP-000017,wireless headphones,broad,77,3,5.76,4.78,0,2025-05-22 17:06:27.128080,1.1,12.9
KW-CAMP-000018-1,CAMP-000018,usb cable,phrase,352,12,13.12,16.15,0,2025-05-22 17:06:27.128080,0.51,6.4
KW-CAMP-000018-2,CAMP-000018,wireless headphones,phrase,469,16,17.48,21.52,0,2025-05-22 17:06:27.128080,3.5,14.8
KW-CAMP-000018-3,CAMP-000018,keyboard,broad,247,8,9.2,11.32,0,2025-05-22 17:06:27.128080,0.86,6.5
KW-CAMP-000018-4,CAMP-000018,power bank,exact,494,17,18.41,22.66,0,2025-05-22 17:06:27.128080,0.67,14.9
KW-CAMP-000018-5,CAMP-000018,external drive,exact,500,17,18.64,22.94,0,2025-05-22 17:06:27.128080,0.32,3.2
KW-CAMP-000018-6,CAMP-000018,fitness tracker,broad,484,16,18.02,22.18,0,2025-05-22 17:06:27.128080,1.6,19.1
KW-CAMP-000019-1,CAMP-000019,smart watch,exact,462,21,37.11,82.77,2,2025-05-22 17:06:27.128080,1.56,7.9
KW-CAMP-000019-2,CAMP-000019,screen protector,broad,200,9,16.06,35.81,1,2025-05-22 17:06:27.128080,0.5,8.1
KW-CAMP-000019-3,CAMP-000019,smart watch,phrase,2151,99,172.56,384.83,13,2025-05-22 17:06:27.128080,0.64,9.8
KW-CAMP-000019-4,CAMP-000019,power bank,phrase,554,25,44.46,99.16,3,2025-05-22 17:06:27.128080,1.11,16.9
KW-CAMP-000019-5,CAMP-000019,phone case,phrase,141,6,11.34,25.29,0,2025-05-22 17:06:27.128080,0.65,4.2
KW-CAMP-000019-6,CAMP-000019,power bank,broad,909,42,72.94,162.67,5,2025-05-22 17:06:27.128080,0.52,7.8
KW-CAMP-000020-1,CAMP-000020,gaming mouse,phrase,188,3,6.18,0.0,0,2025-05-22 17:06:27.128080,1.16,8.6
KW-CAMP-000020-2,CAMP-000020,gaming mouse,phrase,6,0,0.22,0.0,0,2025-05-22 17:06:27.128080,0.64,3.6
KW-CAMP-000020-3,CAMP-000020,car charger,exact,6,0,0.2,0.0,0,2025-05-22 17:06:27.128080,2.68,3.7
KW-CAMP-000020-4,CAMP-000020,screen protector,exact,17,0,0.57,0.0,0,2025-05-22 17:06:27.128080,1.47,2.8
KW-CAMP-000020-5,CAMP-000020,keyboard,exact,49,1,1.62,0.0,0,2025-05-22 17:06:27.128080,1.47,15.0
KW-CAMP-000020-6,CAMP-000020,phone mount,broad,62,1,2.06,0.0,0,2025-05-22 17:06:27.128080,1.4,3.4
KW-CAMP-000020-7,CAMP-000020,phone mount,phrase,4,0,0.13,0.0,0,2025-05-22 17:06:27.128080,0.47,10.1
KW-CAMP-000021-1,CAMP-000021,usb cable,exact,288,10,31.32,23.77,0,2025-05-22 17:06:27.128080,0.28,10.1
KW-CAMP-000021-2,CAMP-000021,laptop bag,exact,172,6,18.7,14.2,0,2025-05-22 17:06:27.128080,0.41,3.5
KW-CAMP-000021-3,CAMP-000021,tablet stand,exact,182,6,19.85,15.07,0,2025-05-22 17:06:27.128080,1.63,12.0
KW-CAMP-000021-4,CAMP-000021,wireless headphones,exact,231,8,25.18,19.11,0,2025-05-22 17:06:27.128080,0.59,6.9
KW-CAMP-000021-5,CAMP-000021,charging cable,phrase,16,0,1.76,1.33,0,2025-05-22 17:06:27.128080,1.12,6.4
KW-CAMP-000021-6,CAMP-000021,gaming mouse,exact,287,10,31.25,23.72,0,2025-05-22 17:06:27.128080,1.25,11.8
KW-CAMP-000021-7,CAMP-000021,phone mount,broad,40,1,4.4,3.34,0,2025-05-22 17:06:27.128080,1.5,5.0
KW-CAMP-000021-8,CAMP-000021,wireless headphones,exact,395,14,43.03,32.66,0,2025-05-22 17:06:27.128080,1.08,5.2
KW-CAMP-000022-1,CAMP-000022,tablet stand,exact,75,3,2.35,10.31,0,2025-05-22 17:06:27.128080,0.4,6.8
KW-CAMP-000022-2,CAMP-000022,usb cable,exact,207,8,6.47,28.4,0,2025-05-22 17:06:27.128080,1.1,3.5
KW-CAMP-000022-3,CAMP-000022,laptop bag,phrase,382,15,11.95,52.44,0,2025-05-22 17:06:27.128080,2.35,16.5
KW-CAMP-000023-1,CAMP-000023,usb cable,phrase,16010,1127,507.57,1317.55,50,2025-05-22 17:06:27.128080,2.64,10.2
KW-CAMP-000023-2,CAMP-000023,phone mount,broad,3244,228,102.86,267.01,10,2025-05-22 17:06:27.128080,0.6,8.9
KW-CAMP-000023-3,CAMP-000023,bluetooth speaker,phrase,4429,312,140.43,364.54,14,2025-05-22 17:06:27.128080,0.5,16.1
KW-CAMP-000023-4,CAMP-000023,phone case,exact,4974,350,157.72,409.4,15,2025-05-22 17:06:27.128080,1.19,7.1
KW-CAMP-000023-5,CAMP-000023,bluetooth speaker,phrase,1488,104,47.2,122.53,4,2025-05-22 17:06:27.128080,2.39,16.9
KW-CAMP-000024-1,CAMP-000024,phone case,broad,542,57,135.64,88.38,1,2025-05-22 17:06:27.128080,1.13,11.6
KW-CAMP-000024-2,CAMP-000024,usb cable,exact,12,1,3.04,1.98,0,2025-05-22 17:06:27.128080,0.76,5.0
KW-CAMP-000024-3,CAMP-000024,car charger,phrase,1408,149,352.01,229.37,3,2025-05-22 17:06:27.128080,0.85,12.8
KW-CAMP-000024-4,CAMP-000024,smart watch,exact,228,24,57.14,37.23,0,2025-05-22 17:06:27.128080,1.01,18.4
KW-CAMP-000024-5,CAMP-000024,charging cable,broad,1043,110,260.69,169.87,2,2025-05-22 17:06:27.128080,0.53,4.8
KW-CAMP-000024-6,CAMP-000024,power bank,phrase,904,96,225.99,147.25,2,2025-05-22 17:06:27.128080,1.68,4.7
KW-CAMP-000025-1,CAMP-000025,power bank,broad,268,8,18.2,36.31,0,2025-05-22 17:06:27.128080,0.97,19.8
KW-CAMP-000025-2,CAMP-000025,bluetooth speaker,exact,84,2,5.73,11.43,0,2025-05-22 17:06:27.128080,1.61,14.9
KW-CAMP-000025-3,CAMP-000025,phone mount,broad,55,1,3.76,7.49,0,2025-05-22 17:06:27.128080,0.56,7.7
KW-CAMP-000025-4,CAMP-000025,charging cable,broad,704,22,47.69,95.14,2,2025-05-22 17:06:27.128080,0.72,10.8
KW-CAMP-000025-5,CAMP-000025,car charger,phrase,2260,70,152.99,305.17,7,2025-05-22 17:06:27.128080,1.26,7.2
KW-CAMP-000025-6,CAMP-000025,smart watch,broad,797,24,53.96,107.64,2,2025-05-22 17:06:27.128080,1.39,17.2
KW-CAMP-000001-1,CAMP-000001,laptop bag,exact,100,1,3.1,7.18,0,2025-05-23 17:06:27.128080,0.46,18.5
KW-CAMP-000001-2,CAMP-000001,bluetooth speaker,broad,1996,35,61.93,143.25,3,2025-05-23 17:06:27.128080,1.14,12.8
KW-CAMP-000001-3,CAMP-000001,charging cable,phrase,2033,35,63.08,145.9,3,2025-05-23 17:06:27.128080,1.54,8.3
KW-CAMP-000001-4,CAMP-000001,usb cable,broad,46,0,1.43,3.3,0,2025-05-23 17:06:27.128080,3.63,18.9
KW-CAMP-000001-5,CAMP-000001,keyboard,exact,138,2,4.3,9.94,0,2025-05-23 17:06:27.128080,0.92,16.2
KW-CAMP-000002-1,CAMP-000002,bluetooth speaker,broad,327,12,25.62,129.16,2,2025-05-23 17:06:27.128080,0.88,10.2
KW-CAMP-000002-2,CAMP-000002,car charger,exact,633,24,49.53,249.7,4,2025-05-23 17:06:27.128080,0.34,12.4
KW-CAMP-000002-3,CAMP-000002,power bank,broad,82,3,6.48,32.67,0,2025-05-23 17:06:27.128080,1.33,13.3
KW-CAMP-000002-4,CAMP-000002,fitness tracker,phrase,280,10,21.95,110.63,2,2025-05-23 17:06:27.128080,0.66,4.1
KW-CAMP-000002-5,CAMP-000002,wireless headphones,exact,191,7,15.01,75.67,1,2025-05-23 17:06:27.128080,1.53,17.1
KW-CAMP-000003-1,CAMP-000003,charging cable,phrase,1755,94,119.37,991.48,7,2025-05-23 17:06:27.128080,1.05,6.0
KW-CAMP-000003-2,CAMP-000003,power bank,exact,2020,108,137.36,1140.9,9,2025-05-23 17:06:27.128080,0.28,12.8
KW-CAMP-000003-3,CAMP-000003,bluetooth speaker,broad,971,52,66.04,548.56,4,2025-05-23 17:06:27.128080,1.66,15.5
KW-CAMP-000003-4,CAMP-000003,usb cable,broad,357,19,24.28,201.67,1,2025-05-23 17:06:27.128080,2.4,3.1
KW-CAMP-000003-5,CAMP-000003,tablet stand,phrase,3937,212,267.76,2224.03,17,2025-05-23 17:06:27.128080,0.65,3.2
KW-CAMP-000004-1,CAMP-000004,power bank,exact,1075,65,67.34,226.69,3,2025-05-23 17:06:27.128080,0.5,3.1
KW-CAMP-000004-2,CAMP-000004,usb cable,exact,8616,524,539.28,1815.43,27,2025-05-23 17:06:27.128080,1.69,14.4
KW-CAMP-000004-3,CAMP-000004,laptop bag,broad,4753,289,297.49,1001.47,14,2025-05-23 17:06:27.128080,0.85,3.1
KW-CAMP-000005-1,CAMP-000005,bluetooth speaker,phrase,8881,369,282.22,1119.93,45,2025-05-23 17:06:27.128080,1.48,6.1
KW-CAMP-000005-2,CAMP-000005,tablet stand,broad,4549,189,144.55,573.63,23,2025-05-23 17:06:27.128080,1.73,10.6
KW-CAMP-000005-3,CAMP-000005,charging cable,exact,5845,242,185.74,737.06,30,2025-05-23 17:06:27.128080,2.66,16.0
KW-CAMP-000006-1,CAMP-000006,power bank,phrase,146,5,13.33,27.0,0,2025-05-23 17:06:27.128080,1.34,6.0
KW-CAMP-000006-2,CAMP-000006,external drive,phrase,129,4,11.85,24.0,0,2025-05-23 17:06:27.128080,2.31,7.1
KW-CAMP-000006-3,CAMP-000006,car charger,exact,180,6,16.51,33.44,0,2025-05-23 17:06:27.128080,0.27,18.6
KW-CAMP-000006-4,CAMP-000006,smart watch,phrase,346,12,31.65,64.08,0,2025-05-23 17:06:27.128080,0.92,12.2
KW-CAMP-000006-5,CAMP-000006,tablet stand,phrase,738,26,67.4,136.49,1,2025-05-23 17:06:27.128080,2.27,7.8
KW-CAMP-000006-6,CAMP-000006,bluetooth speaker,phrase,12,0,1.17,2.36,0,2025-05-23 17:06:27.128080,0.41,19.1
KW-CAMP-000007-1,CAMP-000007,phone mount,broad,340,9,11.42,46.73,0,2025-05-23 17:06:27.128080,0.98,15.6
KW-CAMP-000007-2,CAMP-000007,keyboard,broad,2093,59,70.19,287.3,4,2025-05-23 17:06:27.128080,0.25,10.7
KW-CAMP-000007-3,CAMP-000007,usb cable,exact,844,23,28.33,115.94,1,2025-05-23 17:06:27.128080,1.98,10.5
KW-CAMP-000007-4,CAMP-000007,screen protector,broad,264,7,8.85,36.23,0,2025-05-23 17:06:27.128080,1.19,12.4
KW-CAMP-000007-5,CAMP-000007,external drive,phrase,2051,57,68.77,281.47,4,2025-05-23 17:06:27.128080,0.8,10.1
KW-CAMP-000007-6,CAMP-000007,phone mount,phrase,270,7,9.07,37.11,0,2025-05-23 17:06:27.128080,2.84,13.6
KW-CAMP-000007-7,CAMP-000007,screen protector,exact,474,13,15.91,65.12,1,2025-05-23 17:06:27.128080,0.88,10.2
KW-CAMP-000007-8,CAMP-000007,tablet stand,phrase,1658,46,55.6,227.59,3,2025-05-23 17:06:27.128080,0.38,2.5
KW-CAMP-000008-1,CAMP-000008,gaming mouse,broad,4599,79,145.61,139.29,7,2025-05-23 17:06:27.128080,0.51,12.0
KW-CAMP-000008-2,CAMP-000008,external drive,phrase,9259,159,293.14,280.42,14,2025-05-23 17:06:27.128080,1.26,7.5
KW-CAMP-000008-3,CAMP-000008,wireless headphones,broad,3306,57,104.67,100.13,5,2025-05-23 17:06:27.128080,0.66,7.8
KW-CAMP-000008-4,CAMP-000008,smart watch,broad,6235,107,197.4,188.84,9,2025-05-23 17:06:27.128080,0.95,15.6
KW-CAMP-000008-5,CAMP-000008,screen protector,exact,1275,22,40.39,38.63,2,2025-05-23 17:06:27.128080,0.86,8.6
KW-CAMP-000009-1,CAMP-000009,external drive,broad,247,3,1.51,22.78,0,2025-05-23 17:06:27.128080,0.57,15.2
KW-CAMP-000009-2,CAMP-000009,power bank,phrase,2151,29,13.15,197.79,4,2025-05-23 17:06:27.128080,1.21,15.6
KW-CAMP-000009-3,CAMP-000009,phone case,broad,33,0,0.2,3.08,0,2025-05-23 17:06:27.128080,1.66,16.4
KW-CAMP-000009-4,CAMP-000009,smart watch,exact,431,6,2.64,39.68,1,2025-05-23 17:06:27.128080,1.38,17.5
KW-CAMP-000009-5,CAMP-000009,usb cable,broad,1155,16,7.07,106.26,2,2025-05-23 17:06:27.128080,0.65,15.8
KW-CAMP-000009-6,CAMP-000009,tablet stand,broad,352,4,2.16,32.42,0,2025-05-23 17:06:27.128080,1.79,19.4
KW-CAMP-000009-7,CAMP-000009,keyboard,phrase,155,2,0.95,14.33,0,2025-05-23 17:06:27.128080,1.64,15.5
KW-CAMP-000010-1,CAMP-000010,laptop bag,exact,13,0,1.16,4.86,0,2025-05-23 17:06:27.128080,0.46,17.7
KW-CAMP-000010-2,CAMP-000010,charging cable,broad,122,8,10.88,45.39,0,2025-05-23 17:06:27.128080,1.83,15.2
KW-CAMP-000010-3,CAMP-000010,phone case,exact,18,1,1.64,6.84,0,2025-05-23 17:06:27.128080,1.29,3.0
KW-CAMP-000010-4,CAMP-000010,tablet stand,exact,41,2,3.63,15.16,0,2025-05-23 17:06:27.128080,1.23,6.1
KW-CAMP-000010-5,CAMP-000010,bluetooth speaker,exact,28,2,2.57,10.72,0,2025-05-23 17:06:27.128080,1.57,2.5
KW-CAMP-000010-6,CAMP-000010,charging cable,phrase,131,9,11.67,48.71,0,2025-05-23 17:06:27.128080,2.05,18.6
