campaign_id,platform,campaign_type,date,impressions,clicks,spend,sales,orders,acos,roas,cpc,ctr,conversion_rate
CAMP-000005,walmart,sponsored_display,2025-05-23 13:02:27.967686,11649,484,370.14,1468.83,60,0.252,3.97,0.76,4.158,12.479
CAMP-000006,walmart,sponsored_display,2025-05-23 13:02:27.967686,1460,53,133.2,269.74,3,0.494,2.03,2.51,3.695,6.233
CAMP-000007,amazon,sponsored_brands,2025-05-23 13:02:27.967686,6477,183,217.13,888.73,14,0.244,4.09,1.19,2.829,7.843
CAMP-000008,walmart,sponsored_products,2025-05-23 13:02:27.967686,25805,445,816.91,781.46,41,1.045,0.96,1.84,1.727,9.359
CAMP-000009,walmart,sponsored_products,2025-05-23 13:02:27.967686,4305,60,26.32,395.73,10,0.067,15.04,0.44,1.399,17.347
CAMP-000010,walmart,sponsored_brands,2025-05-23 13:02:27.967686,540,39,47.83,199.64,2,0.24,4.17,1.23,7.351,7.304
CAMP-000011,walmart,sponsored_display,2025-05-23 13:02:27.967686,4095,85,94.64,1082.02,12,0.087,11.43,1.11,2.079,15.105
CAMP-000012,amazon,sponsored_products,2025-05-23 13:02:27.967686,14133,488,986.45,1578.94,16,0.625,1.6,2.02,3.455,3.475
CAMP-000013,amazon,sponsored_products,2025-05-23 13:02:27.967686,7208,594,517.52,1315.65,53,0.393,2.54,0.87,8.248,9.074
CAMP-000014,walmart,sponsored_display,2025-05-23 13:02:27.967686,545,16,21.15,28.63,1,0.738,1.35,1.32,3.116,7.257
CAMP-000015,amazon,sponsored_display,2025-05-23 13:02:27.967686,4879,132,97.12,148.12,5,0.656,1.53,0.74,2.723,4.184
CAMP-000016,amazon,sponsored_products,2025-05-23 13:02:27.967686,21372,664,1379.7,3803.62,100,0.363,2.76,2.08,3.108,15.075
CAMP-000017,walmart,sponsored_brands,2025-05-23 13:02:27.967686,877,5,7.32,0.0,0,1.0,0.0,1.46,0.623,9.91
CAMP-000018,walmart,sponsored_display,2025-05-23 13:02:27.967686,1406,13,8.82,0.0,0,1.0,0.0,0.68,0.983,7.57
CAMP-000019,walmart,sponsored_brands,2025-05-23 13:02:27.967686,2986,231,135.43,458.05,7,0.296,3.38,0.59,7.763,3.048
CAMP-000020,amazon,sponsored_products,2025-05-23 13:02:27.967686,1563,38,27.69,191.82,4,0.144,6.93,0.73,2.465,11.24
CAMP-000021,walmart,sponsored_brands,2025-05-23 13:02:27.967686,1452,30,48.56,21.91,1,2.216,0.45,1.62,2.079,4.082
CAMP-000022,amazon,sponsored_display,2025-05-23 13:02:27.967686,3143,20,88.63,0.0,0,1.0,0.0,4.43,0.665,1.903
CAMP-000023,walmart,sponsored_brands,2025-05-23 13:02:27.967686,1453,171,155.44,991.02,19,0.157,6.38,0.91,11.79,11.363
CAMP-000024,amazon,sponsored_brands,2025-05-23 13:02:27.967686,2564,74,62.47,416.53,7,0.15,6.67,0.84,2.917,10.142
CAMP-000025,walmart,sponsored_brands,2025-05-23 13:02:27.967686,2333,222,183.46,1233.17,22,0.149,6.72,0.83,9.555,10.2
CAMP-000001,walmart,sponsored_display,2025-05-24 13:02:27.967686,5208,176,247.68,1882.61,31,0.132,7.6,1.41,3.393,17.967
CAMP-000002,amazon,sponsored_brands,2025-05-24 13:02:27.967686,10904,410,305.68,2289.76,32,0.133,7.49,0.75,3.762,7.903
CAMP-000003,amazon,sponsored_brands,2025-05-24 13:02:27.967686,958,65,33.79,63.21,4,0.535,1.87,0.52,6.808,6.378
CAMP-000004,walmart,sponsored_brands,2025-05-24 13:02:27.967686,2886,392,625.27,1443.29,14,0.433,2.31,1.6,13.599,3.706
CAMP-000005,amazon,sponsored_brands,2025-05-24 13:02:27.967686,1445,39,155.26,112.07,3,1.385,0.72,3.98,2.728,8.95
CAMP-000006,walmart,sponsored_display,2025-05-24 13:02:27.967686,5649,67,58.74,97.37,2,0.603,1.66,0.88,1.189,3.689
CAMP-000007,walmart,sponsored_display,2025-05-24 13:02:27.967686,15307,1182,1670.53,1744.04,49,0.958,1.04,1.41,7.723,4.213
CAMP-000008,amazon,sponsored_brands,2025-05-24 13:02:27.967686,2797,107,108.32,496.54,5,0.218,4.58,1.01,3.826,5.398
CAMP-000009,amazon,sponsored_display,2025-05-24 13:02:27.967686,8376,26,22.87,252.42,4,0.091,11.04,0.88,0.322,17.244
CAMP-000010,amazon,sponsored_brands,2025-05-24 13:02:27.967686,1112,68,50.22,290.52,7,0.173,5.78,0.74,6.196,11.34
CAMP-000011,amazon,sponsored_products,2025-05-24 13:02:27.967686,1679,125,70.36,26.65,1,2.641,0.38,0.56,7.487,1.062
CAMP-000012,walmart,sponsored_products,2025-05-24 13:02:27.967686,1065,6,1.69,60.59,1,0.028,35.76,0.28,0.655,22.221
CAMP-000013,walmart,sponsored_products,2025-05-24 13:02:27.967686,2700,73,112.93,21.89,1,5.159,0.19,1.55,2.734,2.403
CAMP-000014,amazon,sponsored_brands,2025-05-24 13:02:27.967686,4183,250,302.44,1332.67,51,0.227,4.41,1.21,5.987,20.703
CAMP-000015,walmart,sponsored_brands,2025-05-24 13:02:27.967686,4043,87,127.67,2137.04,17,0.06,16.74,1.47,2.175,20.266
CAMP-000016,amazon,sponsored_brands,2025-05-24 13:02:27.967686,1776,25,17.86,35.13,1,0.508,1.97,0.71,1.415,6.763
CAMP-000017,walmart,sponsored_brands,2025-05-24 13:02:27.967686,2326,268,214.58,153.63,6,1.397,0.72,0.8,11.555,2.509
CAMP-000018,walmart,sponsored_brands,2025-05-24 13:02:27.967686,1921,75,127.19,387.14,7,0.329,3.04,1.7,3.92,9.732
CAMP-000019,walmart,sponsored_brands,2025-05-24 13:02:27.967686,817,45,44.21,0.0,0,1.0,0.0,0.98,5.578,1.925
CAMP-000020,amazon,sponsored_brands,2025-05-24 13:02:27.967686,8647,258,488.29,328.75,4,1.485,0.67,1.89,2.989,1.911
CAMP-000021,amazon,sponsored_display,2025-05-24 13:02:27.967686,1436,100,125.28,86.17,2,1.454,0.69,1.25,6.97,2.294
CAMP-000022,amazon,sponsored_brands,2025-05-24 13:02:27.967686,1077,16,16.18,44.98,1,0.36,2.78,1.01,1.501,7.543
CAMP-000023,amazon,sponsored_display,2025-05-24 13:02:27.967686,783,28,72.21,39.04,1,1.85,0.54,2.58,3.65,5.951
CAMP-000024,amazon,sponsored_display,2025-05-24 13:02:27.967686,2036,173,125.47,1681.29,15,0.075,13.4,0.73,8.509,8.754
CAMP-000025,amazon,sponsored_products,2025-05-24 13:02:27.967686,1305,28,54.51,0.0,0,1.0,0.0,1.95,2.216,1.849
CAMP-000001,amazon,sponsored_products,2025-05-25 13:02:27.967686,2401,49,194.05,228.86,2,0.848,1.18,3.96,2.07,4.477
CAMP-000002,amazon,sponsored_display,2025-05-25 13:02:27.967686,4371,276,437.55,1247.92,30,0.351,2.85,1.59,6.319,10.903
CAMP-000003,amazon,sponsored_products,2025-05-25 13:02:27.967686,1052,46,53.49,389.49,3,0.137,7.28,1.16,4.456,7.08
CAMP-000004,amazon,sponsored_brands,2025-05-25 13:02:27.967686,3107,227,92.21,751.53,18,0.123,8.15,0.41,7.335,8.122
CAMP-000005,amazon,sponsored_display,2025-05-25 13:02:27.967686,2883,248,179.08,871.4,18,0.206,4.87,0.72,8.601,7.426
CAMP-000006,amazon,sponsored_brands,2025-05-25 13:02:27.967686,569,1,1.85,0.0,0,1.0,0.0,1.85,0.247,12.059
CAMP-000007,walmart,sponsored_brands,2025-05-25 13:02:27.967686,769,86,86.37,968.11,10,0.089,11.21,1.0,11.214,12.037
CAMP-000008,amazon,sponsored_display,2025-05-25 13:02:27.967686,3411,143,213.1,1258.03,21,0.169,5.9,1.49,4.21,14.954
CAMP-000009,amazon,sponsored_products,2025-05-25 13:02:27.967686,1135,43,73.2,30.32,2,2.414,0.41,1.7,3.858,5.127
CAMP-000010,walmart,sponsored_products,2025-05-25 13:02:27.967686,5313,233,166.93,1960.87,61,0.085,11.75,0.72,4.401,26.593
CAMP-000011,amazon,sponsored_brands,2025-05-25 13:02:27.967686,2514,35,25.07,231.58,3,0.108,9.24,0.72,1.403,8.671
CAMP-000012,walmart,sponsored_brands,2025-05-25 13:02:27.967686,2570,46,71.54,181.97,3,0.393,2.54,1.56,1.802,6.994
CAMP-000013,amazon,sponsored_products,2025-05-25 13:02:27.967686,21476,435,617.02,925.02,15,0.667,1.5,1.42,2.028,3.505
CAMP-000014,amazon,sponsored_products,2025-05-25 13:02:27.967686,2515,95,111.86,273.11,14,0.41,2.44,1.18,3.802,15.467
CAMP-000015,walmart,sponsored_display,2025-05-25 13:02:27.967686,983,32,62.13,44.96,2,1.382,0.72,1.94,3.323,6.65
CAMP-000016,amazon,sponsored_display,2025-05-25 13:02:27.967686,10601,777,516.31,3702.59,80,0.139,7.17,0.66,7.333,10.333
CAMP-000017,amazon,sponsored_brands,2025-05-25 13:02:27.967686,7006,605,269.74,5971.68,95,0.045,22.14,0.45,8.646,15.828
CAMP-000018,walmart,sponsored_display,2025-05-25 13:02:27.967686,2615,26,54.87,0.0,0,1.0,0.0,2.11,1.031,3.506
CAMP-000019,walmart,sponsored_products,2025-05-25 13:02:27.967686,8223,330,289.43,974.43,19,0.297,3.37,0.88,4.02,5.82
CAMP-000020,walmart,sponsored_products,2025-05-25 13:02:27.967686,5038,167,173.57,226.89,13,0.765,1.31,1.04,3.315,7.854
CAMP-000021,walmart,sponsored_brands,2025-05-25 13:02:27.967686,45705,3504,2424.97,42041.9,663,0.058,17.34,0.69,7.668,18.948
CAMP-000022,amazon,sponsored_brands,2025-05-25 13:02:27.967686,26786,886,954.81,780.16,23,1.224,0.82,1.08,3.308,2.68
CAMP-000023,walmart,sponsored_display,2025-05-25 13:02:27.967686,3257,96,246.65,214.68,8,1.149,0.87,2.57,2.957,8.372
CAMP-000024,walmart,sponsored_display,2025-05-25 13:02:27.967686,1798,136,72.09,90.99,4,0.792,1.26,0.53,7.588,3.648
CAMP-000025,amazon,sponsored_brands,2025-05-25 13:02:27.967686,1787,138,254.1,238.89,11,1.064,0.94,1.84,7.769,8.318
CAMP-000001,amazon,sponsored_display,2025-05-26 13:02:27.967686,12145,603,791.68,1160.66,36,0.682,1.47,1.31,4.971,6.064
CAMP-000002,walmart,sponsored_display,2025-05-26 13:02:27.967686,1137,34,18.49,122.64,4,0.151,6.63,0.54,3.078,12.595
CAMP-000003,walmart,sponsored_brands,2025-05-26 13:02:27.967686,1667,56,55.2,217.2,5,0.254,3.93,0.99,3.394,10.392
CAMP-000004,walmart,sponsored_display,2025-05-26 13:02:27.967686,4544,30,13.82,89.01,1,0.155,6.44,0.46,0.681,4.778
CAMP-000005,walmart,sponsored_brands,2025-05-26 13:02:27.967686,1319,138,88.77,1559.33,16,0.057,17.57,0.64,10.473,12.033
CAMP-000006,amazon,sponsored_products,2025-05-26 13:02:27.967686,564,7,10.2,29.94,1,0.341,2.93,1.46,1.317,21.737
CAMP-000007,walmart,sponsored_brands,2025-05-26 13:02:27.967686,3147,58,91.23,278.21,4,0.328,3.05,1.57,1.853,7.091
CAMP-000008,amazon,sponsored_brands,2025-05-26 13:02:27.967686,21310,387,554.07,443.7,14,1.249,0.8,1.43,1.817,3.707
CAMP-000009,walmart,sponsored_brands,2025-05-26 13:02:27.967686,9061,481,520.13,3960.21,71,0.131,7.61,1.08,5.317,14.884
CAMP-000010,amazon,sponsored_brands,2025-05-26 13:02:27.967686,5034,272,118.47,120.59,2,0.982,1.02,0.44,5.414,1.09
CAMP-000011,walmart,sponsored_products,2025-05-26 13:02:27.967686,36806,1433,1119.28,13444.7,202,0.083,12.01,0.78,3.895,14.138
CAMP-000012,walmart,sponsored_products,2025-05-26 13:02:27.967686,927,22,22.6,50.25,1,0.45,2.22,1.03,2.448,6.498
CAMP-000013,walmart,sponsored_brands,2025-05-26 13:02:27.967686,819,22,30.93,172.87,3,0.179,5.59,1.41,2.784,15.547
CAMP-000014,walmart,sponsored_brands,2025-05-26 13:02:27.967686,5221,53,60.05,129.12,3,0.465,2.15,1.13,1.025,6.916
CAMP-000015,walmart,sponsored_display,2025-05-26 13:02:27.967686,3572,144,255.16,155.28,4,1.643,0.61,1.77,4.046,3.348
CAMP-000016,amazon,sponsored_display,2025-05-26 13:02:27.967686,943,40,28.55,0.0,0,1.0,0.0,0.71,4.279,0.347
CAMP-000017,amazon,sponsored_products,2025-05-26 13:02:27.967686,2996,191,610.54,79.77,5,7.654,0.13,3.2,6.39,2.755
CAMP-000018,amazon,sponsored_display,2025-05-26 13:02:27.967686,1949,162,108.83,823.19,21,0.132,7.56,0.67,8.327,12.969
CAMP-000019,walmart,sponsored_brands,2025-05-26 13:02:27.967686,26310,500,831.64,580.44,13,1.433,0.7,1.66,1.901,2.699
CAMP-000020,amazon,sponsored_display,2025-05-26 13:02:27.967686,3329,78,33.63,193.91,3,0.173,5.77,0.43,2.371,4.357
CAMP-000021,walmart,sponsored_display,2025-05-26 13:02:27.967686,9958,486,1068.49,2053.96,55,0.52,1.92,2.2,4.886,11.491
CAMP-000022,walmart,sponsored_brands,2025-05-26 13:02:27.967686,3162,53,130.41,196.58,6,0.663,1.51,2.46,1.682,11.763
CAMP-000023,amazon,sponsored_products,2025-05-26 13:02:27.967686,1070,3,3.4,0.0,0,1.0,0.0,1.13,0.368,9.347
CAMP-000024,walmart,sponsored_products,2025-05-26 13:02:27.967686,3969,109,151.74,336.71,13,0.451,2.22,1.39,2.747,12.053
CAMP-000025,walmart,sponsored_display,2025-05-26 13:02:27.967686,4537,85,33.46,2030.34,18,0.016,60.68,0.39,1.887,21.372
CAMP-000001,amazon,sponsored_brands,2025-05-27 13:02:27.967686,5704,384,347.74,604.67,10,0.575,1.74,0.91,6.747,2.747
CAMP-000002,walmart,sponsored_brands,2025-05-27 13:02:27.967686,10118,245,123.43,317.24,15,0.389,2.57,0.5,2.424,6.506
CAMP-000003,walmart,sponsored_brands,2025-05-27 13:02:27.967686,13130,81,58.76,2074.13,17,0.028,35.3,0.73,0.624,21.828
CAMP-000004,walmart,sponsored_brands,2025-05-27 13:02:27.967686,8514,416,915.19,955.18,72,0.958,1.04,2.2,4.897,17.387
CAMP-000005,walmart,sponsored_brands,2025-05-27 13:02:27.967686,6811,159,240.16,134.11,3,1.791,0.56,1.51,2.34,2.229
CAMP-000006,walmart,sponsored_brands,2025-05-27 13:02:27.967686,1171,107,44.31,216.08,3,0.205,4.88,0.41,9.135,3.135
CAMP-000007,amazon,sponsored_products,2025-05-27 13:02:27.967686,8590,223,163.82,443.85,12,0.369,2.71,0.73,2.605,5.393
CAMP-000008,amazon,sponsored_brands,2025-05-27 13:02:27.967686,4886,227,124.54,313.86,10,0.397,2.52,0.55,4.651,4.487
CAMP-000009,amazon,sponsored_display,2025-05-27 13:02:27.967686,1806,82,143.02,135.81,6,1.053,0.95,1.74,4.565,7.373
CAMP-000010,amazon,sponsored_products,2025-05-27 13:02:27.967686,1801,20,21.72,76.28,2,0.285,3.51,1.09,1.112,10.791
CAMP-000011,amazon,sponsored_display,2025-05-27 13:02:27.967686,8458,1115,1745.61,2652.01,43,0.658,1.52,1.57,13.184,3.884
CAMP-000012,walmart,sponsored_brands,2025-05-27 13:02:27.967686,7550,812,1867.39,4998.52,75,0.374,2.68,2.3,10.765,9.287
CAMP-000013,walmart,sponsored_products,2025-05-27 13:02:27.967686,9773,158,139.17,1060.72,14,0.131,7.62,0.88,1.625,8.882
CAMP-000014,amazon,sponsored_brands,2025-05-27 13:02:27.967686,2828,39,85.67,110.24,2,0.777,1.29,2.2,1.39,7.587
CAMP-000015,amazon,sponsored_brands,2025-05-27 13:02:27.967686,10032,469,803.82,719.9,17,1.117,0.9,1.71,4.676,3.78
CAMP-000016,amazon,sponsored_brands,2025-05-27 13:02:27.967686,2042,74,47.57,250.71,5,0.19,5.27,0.64,3.633,8.094
CAMP-000017,amazon,sponsored_display,2025-05-27 13:02:27.967686,9645,784,1446.72,4286.32,78,0.338,2.96,1.85,8.138,9.98
CAMP-000018,amazon,sponsored_brands,2025-05-27 13:02:27.967686,2148,81,69.04,0.0,0,1.0,0.0,0.85,3.789,1.039
CAMP-000019,amazon,sponsored_products,2025-05-27 13:02:27.967686,5277,86,70.37,1356.18,17,0.052,19.27,0.82,1.64,20.608
CAMP-000020,walmart,sponsored_display,2025-05-27 13:02:27.967686,1985,65,134.34,128.53,2,1.045,0.96,2.07,3.279,3.225
CAMP-000021,amazon,sponsored_display,2025-05-27 13:02:27.967686,12104,874,583.78,6223.69,92,0.094,10.66,0.67,7.227,10.579
CAMP-000022,walmart,sponsored_products,2025-05-27 13:02:27.967686,9275,335,115.97,48.47,1,2.393,0.42,0.35,3.622,0.557
CAMP-000023,amazon,sponsored_display,2025-05-27 13:02:27.967686,2449,100,87.68,119.38,2,0.734,1.36,0.88,4.084,2.839
CAMP-000024,walmart,sponsored_brands,2025-05-27 13:02:27.967686,19218,90,172.04,228.94,3,0.751,1.33,1.91,0.471,3.488
CAMP-000025,walmart,sponsored_brands,2025-05-27 13:02:27.967686,6372,119,241.67,315.83,4,0.765,1.31,2.03,1.88,3.414
CAMP-000001,walmart,sponsored_products,2025-05-28 13:02:27.967686,5072,182,435.51,199.23,7,2.186,0.46,2.39,3.606,3.937
CAMP-000002,amazon,sponsored_brands,2025-05-28 13:02:27.967686,1114,63,37.73,146.42,4,0.258,3.88,0.6,5.694,7.614
CAMP-000003,walmart,sponsored_products,2025-05-28 13:02:27.967686,3733,117,105.2,35.74,1,2.943,0.34,0.9,3.152,1.046
CAMP-000004,amazon,sponsored_brands,2025-05-28 13:02:27.967686,9090,241,267.46,2064.24,25,0.13,7.72,1.11,2.659,10.595
CAMP-000005,walmart,sponsored_products,2025-05-28 13:02:27.967686,3139,81,137.17,152.52,4,0.899,1.11,1.69,2.592,5.663
CAMP-000006,amazon,sponsored_products,2025-05-28 13:02:27.967686,3552,72,41.78,223.71,5,0.187,5.35,0.58,2.034,8.279
CAMP-000007,amazon,sponsored_display,2025-05-28 13:02:27.967686,1604,98,115.05,412.67,12,0.279,3.59,1.17,6.128,12.517
CAMP-000008,walmart,sponsored_products,2025-05-28 13:02:27.967686,563,11,12.04,72.33,2,0.166,6.01,1.09,2.058,19.5
CAMP-000009,amazon,sponsored_products,2025-05-28 13:02:27.967686,18138,303,431.1,1659.56,47,0.26,3.85,1.42,1.674,15.836
CAMP-000010,walmart,sponsored_display,2025-05-28 13:02:27.967686,15004,957,761.09,4572.29,50,0.166,6.01,0.8,6.384,5.277
CAMP-000011,amazon,sponsored_display,2025-05-28 13:02:27.967686,12408,396,143.39,1826.89,46,0.078,12.74,0.36,3.197,11.768
CAMP-000012,walmart,sponsored_brands,2025-05-28 13:02:27.967686,3090,72,69.45,208.85,3,0.333,3.01,0.96,2.354,4.671
CAMP-000013,walmart,sponsored_brands,2025-05-28 13:02:27.967686,2200,19,21.99,0.0,0,1.0,0.0,1.16,0.905,2.907
CAMP-000014,walmart,sponsored_brands,2025-05-28 13:02:27.967686,870,17,27.46,333.93,4,0.082,12.16,1.62,2.068,27.555
CAMP-000015,amazon,sponsored_display,2025-05-28 13:02:27.967686,21781,592,709.64,1629.3,39,0.436,2.3,1.2,2.721,6.639
CAMP-000016,amazon,sponsored_products,2025-05-28 13:02:27.967686,4066,213,277.16,2149.36,24,0.129,7.75,1.3,5.24,11.287
CAMP-000017,amazon,sponsored_brands,2025-05-28 13:02:27.967686,1693,92,80.14,1288.36,15,0.062,16.08,0.87,5.489,17.009
CAMP-000018,amazon,sponsored_products,2025-05-28 13:02:27.967686,2504,186,189.96,729.87,12,0.26,3.84,1.02,7.464,6.877
CAMP-000019,amazon,sponsored_products,2025-05-28 13:02:27.967686,1642,102,175.19,626.58,9,0.28,3.58,1.72,6.213,9.529
CAMP-000020,amazon,sponsored_products,2025-05-28 13:02:27.967686,10025,362,337.54,772.57,18,0.437,2.29,0.93,3.619,5.095
CAMP-000021,amazon,sponsored_brands,2025-05-28 13:02:27.967686,462,14,14.49,75.42,1,0.192,5.2,1.04,3.127,8.081
CAMP-000022,walmart,sponsored_display,2025-05-28 13:02:27.967686,1636,95,143.87,25.74,1,5.589,0.18,1.51,5.816,1.951
CAMP-000023,walmart,sponsored_brands,2025-05-28 13:02:27.967686,150,6,6.97,0.0,0,1.0,0.0,1.16,4.063,11.914
CAMP-000024,amazon,sponsored_products,2025-05-28 13:02:27.967686,3280,134,98.99,547.5,11,0.181,5.53,0.74,4.1,8.688
CAMP-000025,walmart,sponsored_display,2025-05-28 13:02:27.967686,2214,90,179.24,554.6,12,0.323,3.09,1.99,4.1,13.72
CAMP-000001,walmart,sponsored_display,2025-05-29 13:02:27.967686,7945,345,83.6,1771.23,20,0.047,21.19,0.24,4.345,5.819
CAMP-000002,walmart,sponsored_products,2025-05-29 13:02:27.967686,3374,123,106.12,288.74,12,0.368,2.72,0.86,3.647,10.533
CAMP-000003,amazon,sponsored_brands,2025-05-29 13:02:27.967686,2504,55,69.44,192.69,4,0.36,2.77,1.26,2.198,7.802
CAMP-000004,amazon,sponsored_brands,2025-05-29 13:02:27.967686,653,31,51.87,192.66,6,0.269,3.71,1.67,4.764,21.712
CAMP-000005,amazon,sponsored_display,2025-05-29 13:02:27.967686,752,28,25.04,0.0,0,1.0,0.0,0.89,3.852,2.067
CAMP-000006,amazon,sponsored_display,2025-05-29 13:02:27.967686,3158,130,84.26,633.26,8,0.133,7.52,0.65,4.133,6.291
CAMP-000007,amazon,sponsored_brands,2025-05-29 13:02:27.967686,1470,19,21.74,56.28,1,0.386,2.59,1.14,1.293,7.815
CAMP-000008,amazon,sponsored_products,2025-05-29 13:02:27.967686,622,11,6.79,0.0,0,1.0,0.0,0.62,1.782,4.512
CAMP-000009,amazon,sponsored_products,2025-05-29 13:02:27.967686,3252,36,77.93,254.8,3,0.306,3.27,2.16,1.113,10.204
CAMP-000010,walmart,sponsored_display,2025-05-29 13:02:27.967686,1372,14,4.5,0.0,0,1.0,0.0,0.32,1.062,3.158
CAMP-000011,walmart,sponsored_brands,2025-05-29 13:02:27.967686,607,17,4.52,175.27,4,0.026,38.8,0.27,2.948,24.457
CAMP-000012,amazon,sponsored_brands,2025-05-29 13:02:27.967686,2010,97,122.84,260.01,4,0.472,2.12,1.27,4.848,4.241
CAMP-000013,walmart,sponsored_display,2025-05-29 13:02:27.967686,1727,75,211.87,376.34,6,0.563,1.78,2.82,4.376,8.348
CAMP-000014,walmart,sponsored_brands,2025-05-29 13:02:27.967686,2258,67,60.73,139.05,3,0.437,2.29,0.91,2.984,5.694
CAMP-000015,walmart,sponsored_brands,2025-05-29 13:02:27.967686,1290,145,233.73,1010.67,11,0.231,4.32,1.61,11.307,7.858
CAMP-000016,amazon,sponsored_display,2025-05-29 13:02:27.967686,477,28,10.44,23.05,1,0.453,2.21,0.37,5.964,5.032
CAMP-000017,amazon,sponsored_brands,2025-05-29 13:02:27.967686,3190,68,208.82,25.46,1,8.201,0.12,3.07,2.138,2.166
CAMP-000018,walmart,sponsored_display,2025-05-29 13:02:27.967686,2556,160,116.16,350.11,5,0.332,3.01,0.73,6.283,3.248
CAMP-000019,walmart,sponsored_products,2025-05-29 13:02:27.967686,1913,106,218.83,59.13,1,3.701,0.27,2.06,5.59,1.233
CAMP-000020,amazon,sponsored_products,2025-05-29 13:02:27.967686,1897,141,90.9,220.96,3,0.411,2.43,0.64,7.477,2.531
CAMP-000021,amazon,sponsored_display,2025-05-29 13:02:27.967686,1067,12,16.42,0.0,0,1.0,0.0,1.37,1.168,3.642
